"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","Display Value","Numeric","Low","High","Comments"
"RSUD_790","PUBLISHED","2014","EUR","ISL","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","ISR","BACHELOR","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","ISR","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","ISR","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","ISR","DOCTORAL","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","ITA","DOCTORAL","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AMR","JAM","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EMR","JOR","BACHELOR","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","KAZ","BACHELOR","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","KAZ","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","KGZ","BACHELOR","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","KGZ","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","KGZ","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","WPR","KHM","BACHELOR","Yes","","","",""
"RSUD_790","PUBLISHED","2014","WPR","KHM","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","WPR","KHM","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","WPR","KIR","BACHELOR","No","","","",""
"RSUD_790","PUBLISHED","2014","WPR","KIR","MASTER","No","","","",""
"RSUD_790","PUBLISHED","2014","WPR","KIR","TERTIARY","No","","","",""
"RSUD_790","PUBLISHED","2014","WPR","KIR","DOCTORAL","No","","","",""
"RSUD_790","PUBLISHED","2014","WPR","KOR","BACHELOR","Yes","","","",""
"RSUD_790","PUBLISHED","2014","WPR","KOR","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","WPR","KOR","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","WPR","KOR","DOCTORAL","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EMR","KWT","DOCTORAL","Yes","","","",""
"RSUD_790","PUBLISHED","2014","WPR","LAO","BACHELOR","Yes","","","",""
"RSUD_790","PUBLISHED","2014","WPR","LAO","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","WPR","LAO","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","WPR","LAO","DOCTORAL","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EMR","LBN","BACHELOR","No","","","",""
"RSUD_790","PUBLISHED","2014","EMR","LBN","MASTER","No","","","",""
"RSUD_790","PUBLISHED","2014","EMR","LBN","TERTIARY","No","","","",""
"RSUD_790","PUBLISHED","2014","EMR","LBN","DOCTORAL","No","","","",""
"RSUD_790","PUBLISHED","2014","EMR","LBY","BACHELOR","No","","","",""
"RSUD_790","PUBLISHED","2014","EMR","LBY","MASTER","No","","","",""
"RSUD_790","PUBLISHED","2014","EMR","LBY","TERTIARY","No","","","",""
"RSUD_790","PUBLISHED","2014","EMR","LBY","DOCTORAL","No","","","",""
"RSUD_790","PUBLISHED","2014","SEAR","LKA","BACHELOR","Yes","","","",""
"RSUD_790","PUBLISHED","2014","SEAR","LKA","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","SEAR","LKA","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","SEAR","LKA","DOCTORAL","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","LTU","BACHELOR","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","LTU","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","LTU","DOCTORAL","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","LVA","BACHELOR","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","LVA","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","LVA","DOCTORAL","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EMR","MAR","BACHELOR","No","","","",""
"RSUD_790","PUBLISHED","2014","EMR","MAR","MASTER","No","","","",""
"RSUD_790","PUBLISHED","2014","EMR","MAR","TERTIARY","No","","","",""
"RSUD_790","PUBLISHED","2014","EMR","MAR","DOCTORAL","No","","","",""
"RSUD_790","PUBLISHED","2014","EUR","MDA","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","MDA","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","MDA","DOCTORAL","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AFR","MDG","BACHELOR","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AFR","MDG","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AFR","MDG","DOCTORAL","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AMR","MEX","MASTER","Yes","","","",""
