"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","POLICYSECTOR","Display Value","Numeric","Low","High","Comments"
"SA_0000001694","PUBLISHED","2016","EUR","FIN","TRADE_INDUSTRY","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","FRA","HEALTH_SECTOR","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","GEO","ROAD_SAFETY","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","GEO","FINANCE_TAXATION","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","CYP","TRADE_INDUSTRY","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","CYP","AGRICULTURE","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","RUS","EMPLOYMENT","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","SWE","JUSTICE","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","CHE","EDUCATION","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","CHE","TRADE_INDUSTRY","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","RUS","LAW_ENFORCEMENT","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","SMR","OTHER_POLICY_SECTOR","No","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","SVK","JUSTICE","No","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","SVN","EDUCATION","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","DEU","OTHER_POLICY_SECTOR","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","ISL","HEALTH_SECTOR","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","IRL","ROAD_SAFETY","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","IRL","EMPLOYMENT","No","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","SVN","EMPLOYMENT","Yes","","","",""
