"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","BEVERAGETYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AMR","HTI","SA_750_POPULAR_IMPORTED_SPIRITS","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EMR","LBY","SA_500_POPULAR_BEER","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EMR","LBY","SA_750_POPULAR_LOCAL_SPIRITS","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","WPR","MHL","SA_750_TABLE_WINE","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","WPR","MHL","SA_750_POPULAR_IMPORTED_SPIRITS","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","WPR","PHL","SA_500_POPULAR_BEER","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","WPR","PHL","SA_750_POPULAR_LOCAL_SPIRITS","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","WPR","SGP","SA_750_POPULAR_IMPORTED_SPIRITS","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EMR","SOM","SA_750_TABLE_WINE","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","WPR","VNM","SA_750_TABLE_WINE","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","WPR","TUV","SA_750_TABLE_WINE","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","AUT","SA_750_POPULAR_IMPORTED_SPIRITS","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EMR","BHR","SA_750_POPULAR_LOCAL_SPIRITS","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","SEAR","PRK","SA_750_POPULAR_LOCAL_SPIRITS","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EMR","DJI","SA_750_TABLE_WINE","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AMR","ECU","SA_750_POPULAR_IMPORTED_SPIRITS","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AFR","GNQ","SA_750_POPULAR_LOCAL_SPIRITS","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","IRL","SA_500_POPULAR_BEER","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","IRL","SA_750_POPULAR_LOCAL_SPIRITS","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EMR","KWT","SA_750_TABLE_WINE","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EMR","KWT","SA_750_POPULAR_IMPORTED_SPIRITS","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AFR","NAM","SA_750_POPULAR_IMPORTED_SPIRITS","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","WPR","NZL","SA_750_TABLE_WINE","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","WPR","PLW","SA_750_POPULAR_IMPORTED_SPIRITS","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","WPR","PNG","SA_750_TABLE_WINE","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EMR","ARE","SA_500_POPULAR_BEER","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EMR","ARE","SA_750_POPULAR_LOCAL_SPIRITS","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EMR","YEM","SA_750_POPULAR_LOCAL_SPIRITS","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","WPR","TON","SA_750_POPULAR_LOCAL_SPIRITS","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AFR","DZA","SA_750_POPULAR_LOCAL_SPIRITS","31.66","","","",""
