"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","MEASUREIMPORTANCETYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001721","PUBLISHED","2012","EUR","ISL","SA_AWARENESS_CAMPAIGNS_YOUTH","Medium importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","IRL","SA_SERVER_TRAINING_VOLUNTARILY","Medium importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","IRL","SA_SERVER_TRAINING_NEEDED","Medium importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","IRL","SA_LEGAL_ENFORCEMENT","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","IRL","SA_MONITORING_THROUGH_TEST_PURCHASE","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","IRL","SA_AWARENESS_CAMPAIGNS_SELLERS_SERVERS","Medium importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","IRL","SA_AWARENESS_CAMPAIGNS_YOUTH","Medium importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","ISR","SA_SERVER_TRAINING_VOLUNTARILY","Not used  at  all","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","ISR","SA_SERVER_TRAINING_NEEDED","Not used at all","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","ISR","SA_LEGAL_ENFORCEMENT","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","ISR","SA_MONITORING_THROUGH_TEST_PURCHASE","Medium importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","ISR","SA_AWARENESS_CAMPAIGNS_SELLERS_SERVERS","Not used at all","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","ISR","SA_AWARENESS_CAMPAIGNS_YOUTH","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","ITA","SA_SERVER_TRAINING_VOLUNTARILY","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","ITA","SA_SERVER_TRAINING_NEEDED","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","ITA","SA_LEGAL_ENFORCEMENT","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","ITA","SA_MONITORING_THROUGH_TEST_PURCHASE","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","ITA","SA_AWARENESS_CAMPAIGNS_SELLERS_SERVERS","Medium importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","ITA","SA_AWARENESS_CAMPAIGNS_YOUTH","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","KGZ","SA_SERVER_TRAINING_VOLUNTARILY","Not used  at  all","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","KGZ","SA_SERVER_TRAINING_NEEDED","Not used at all","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","KGZ","SA_LEGAL_ENFORCEMENT","Not used at all","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","KGZ","SA_MONITORING_THROUGH_TEST_PURCHASE","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","KGZ","SA_AWARENESS_CAMPAIGNS_SELLERS_SERVERS","Not used at all","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","KGZ","SA_AWARENESS_CAMPAIGNS_YOUTH","Medium importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","LVA","SA_SERVER_TRAINING_VOLUNTARILY","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","LVA","SA_SERVER_TRAINING_NEEDED","Not used at all","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","LVA","SA_LEGAL_ENFORCEMENT","Medium importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","LVA","SA_MONITORING_THROUGH_TEST_PURCHASE","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","LVA","SA_AWARENESS_CAMPAIGNS_SELLERS_SERVERS","Not used at all","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","LVA","SA_AWARENESS_CAMPAIGNS_YOUTH","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","LTU","SA_SERVER_TRAINING_VOLUNTARILY","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","LTU","SA_SERVER_TRAINING_NEEDED","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","LTU","SA_LEGAL_ENFORCEMENT","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","LTU","SA_MONITORING_THROUGH_TEST_PURCHASE","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","LTU","SA_AWARENESS_CAMPAIGNS_SELLERS_SERVERS","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","LTU","SA_AWARENESS_CAMPAIGNS_YOUTH","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","LUX","SA_SERVER_TRAINING_VOLUNTARILY","Not used  at  all","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","LUX","SA_SERVER_TRAINING_NEEDED","Medium importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","LUX","SA_LEGAL_ENFORCEMENT","Medium importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","LUX","SA_MONITORING_THROUGH_TEST_PURCHASE","Not used at all","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","LUX","SA_AWARENESS_CAMPAIGNS_SELLERS_SERVERS","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","LUX","SA_AWARENESS_CAMPAIGNS_YOUTH","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","MLT","SA_SERVER_TRAINING_VOLUNTARILY","Medium importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","MLT","SA_SERVER_TRAINING_NEEDED","Not used at all","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","MLT","SA_LEGAL_ENFORCEMENT","Medium importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","MLT","SA_MONITORING_THROUGH_TEST_PURCHASE","Not used at all","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","MLT","SA_AWARENESS_CAMPAIGNS_SELLERS_SERVERS","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","MLT","SA_AWARENESS_CAMPAIGNS_YOUTH","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","MNE","SA_SERVER_TRAINING_VOLUNTARILY","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","MNE","SA_SERVER_TRAINING_NEEDED","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","MNE","SA_LEGAL_ENFORCEMENT","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","MNE","SA_MONITORING_THROUGH_TEST_PURCHASE","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","MNE","SA_AWARENESS_CAMPAIGNS_SELLERS_SERVERS","High importance","","","",""
