"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","Display Value","Numeric","Low","High","Comments"
"obesewm","EQ_MICS","PUBLISHED","2013","EUR","MNE","","","","MNEMICS201301","No data","","","","Not available."
"obesewm","EQ_MICS","PUBLISHED","2012","EUR","UKR","","","","UKRMICS201201","No data","","","","Not available."
"obesewm","EQ_DHS","PUBLISHED","2000","AMR","COL","","","","COLDHS200003","10.8 [8.9-13.2]","10.84058","8.89283","13.15334",""
"obesewm","EQ_DHS","PUBLISHED","2015","AMR","COL","","","","COLDHS201503","No data","","","","Not available."
"obesewm","EQ_DHS","PUBLISHED","1993","EUR","TUR","","","","TURDHS199303","18.4 [15.2-22.0]","18.35406","15.22229","21.96324",""
"obesewm","EQ_DHS","PUBLISHED","1997","EUR","KGZ","","","","KGZDHS199704","8.7 [6.8-11.1]","8.70253","6.75831","11.13923",""
"obesewm","EQ_DHS","PUBLISHED","2007","EUR","UKR","","","","UKRDHS200704","No data","","","","Not available."
"obesewm","EQ_MICS","PUBLISHED","2011","AMR","ARG","","","","ARGMICS201104","No data","","","","Not available."
"obesewm","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","","ARMDHS200501","18.9 [15.2-23.4]","18.93987","15.15355","23.41121",""
"obesewm","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","","ARMDHS200502","17.7 [15.9-19.6]","17.67895","15.92898","19.57642",""
"obesewm","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","","ARMDHS201003","No data","","","","Not available."
"obesewm","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","","ARMDHS200006","16.5 [13.0-20.7]","16.50943","13.03778","20.68563",""
"obesewm","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","","ARMDHS200507","4.7 [3.0-7.2]","4.67715","3.00848","7.20261",""
"obesewm","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","","ARMDHS201009","No data","","","","Not available."
"obesewm","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","","ARMDHS200011","12.6 [10.4-15.2]","12.60841","10.41298","15.18823",""
"obesewm","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","","AZEDHS200601","21.4 [19.0-23.9]","21.35740","19.02874","23.88698",""
"obesewm","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","","AZEDHS200605","15.7 [11.7-20.7]","15.67481","11.70036","20.68310",""
"obesewm","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","","AZEDHS200609","13.1 [10.9-15.6]","13.08183","10.93938","15.57051",""
"obesewm","EQ_DHS","PUBLISHED","2010","AFR","BDI","","","","BDIDHS201005","1.6 [0.7-3.5]","1.58308","0.70622","3.51019",""
"obesewm","EQ_MICS","PUBLISHED","2005","AFR","BDI","","","","BDIMICS200502","No data","","","","Not available."
"obesewm","EQ_DHS","PUBLISHED","1996","AFR","BEN","","","","BENDHS199601","0.8 [0.4-1.5]","0.76186","0.39404","1.46795",""
"obesewm","EQ_DHS","PUBLISHED","2001","AFR","BEN","","","","BENDHS200102","11.4 [9.6-13.6]","11.42190","9.55123","13.60385",""
"obesewm","EQ_DHS","PUBLISHED","2001","AFR","BEN","","","","BENDHS200104","3.4 [2.1-5.4]","3.40361","2.13613","5.38181",""
"obesewm","EQ_DHS","PUBLISHED","2001","AFR","BEN","","","","BENDHS200106","3.9 [2.2-6.9]","3.92355","2.21127","6.86860",""
"obesewm","EQ_DHS","PUBLISHED","2006","AFR","BEN","","","","BENDHS200602","0.8 [0.3-1.9]","0.80079","0.33494","1.90221",""
"obesewm","EQ_DHS","PUBLISHED","2006","AFR","BEN","","","","BENDHS200604","4.1 [2.9-5.9]","4.14504","2.90736","5.87772",""
"obesewm","EQ_DHS","PUBLISHED","2006","AFR","BEN","","","","BENDHS200606","3.7 [2.3-6.0]","3.74170","2.32528","5.96820",""
"obesewm","EQ_DHS","PUBLISHED","2011","AFR","BEN","","","","BENDHS201107","2.7 [1.7-4.1]","2.67931","1.74740","4.08754",""
"obesewm","EQ_DHS","PUBLISHED","2011","AFR","BEN","","","","BENDHS201109","12.0 [9.2-15.3]","11.96246","9.24868","15.33796",""
"obesewm","EQ_DHS","PUBLISHED","2011","AFR","BEN","","","","BENDHS201112","6.0 [4.5-8.0]","5.99738","4.47091","8.00137",""
"obesewm","EQ_DHS","PUBLISHED","2010","AFR","BDI","","","","BDIDHS201002","0.4 [0.2-1.2]","0.44446","0.16375","1.20059",""
"obesewm","EQ_DHS","PUBLISHED","1994","AMR","HTI","","","","HTIDHS199402","1.3 [0.6-2.9]","1.34252","0.62237","2.87186",""
"obesewm","EQ_MICS","PUBLISHED","2010","AFR","SLE","","","","SLEMICS201002","No data","","","","Not available."
"obesewm","EQ_RHS","PUBLISHED","1999","EUR","UKR","","","","UKRRHS199903","No data","","","","Not available."
"obesewm","EQ_DHS","PUBLISHED","2003","AFR","BFA","","","","BFADHS200302","0.5 [0.2-1.8]","0.52796","0.15140","1.82404",""
"obesewm","EQ_DHS","PUBLISHED","2003","AFR","BFA","","","","BFADHS200307","0.3 [0.1-1.0]","0.27500","0.07409","1.01517",""
"obesewm","EQ_DHS","PUBLISHED","2003","AFR","BFA","","","","BFADHS200311","2.5 [1.6-3.8]","2.47715","1.60221","3.81137",""
"obesewm","EQ_DHS","PUBLISHED","2010","AFR","BFA","","","","BFADHS201001","1.9 [1.1-3.4]","1.91441","1.05704","3.44298",""
"obesewm","EQ_DHS","PUBLISHED","2010","AFR","BFA","","","","BFADHS201006","1.6 [0.8-3.5]","1.64622","0.76293","3.51594",""
"obesewm","EQ_DHS","PUBLISHED","2010","AFR","BFA","","","","BFADHS201011","1.6 [0.8-3.4]","1.61870","0.75918","3.41785",""
"obesewm","EQ_DHS","PUBLISHED","2010","AFR","BFA","","","","BFADHS201003","9.9 [7.8-12.5]","9.89367","7.77358","12.51352",""
"obesewm","EQ_MICS","PUBLISHED","2006","AFR","BFA","","","","BFAMICS200606","No data","","","","Not available."
"obesewm","EQ_DHS","PUBLISHED","2010","AFR","BFA","","","","BFADHS201008","0.7 [0.2-2.3]","0.74654","0.24150","2.28359",""
"obesewm","EQ_DHS","PUBLISHED","2010","AFR","BFA","","","","BFADHS201010","0.4 [0.2-1.3]","0.44881","0.15908","1.25954",""
"obesewm","EQ_DHS","PUBLISHED","2010","AFR","BFA","","","","BFADHS201012","2.2 [1.1-4.2]","2.16045","1.09512","4.21794",""
"obesewm","EQ_DHS","PUBLISHED","1993","SEAR","BGD","","","","BGDDHS199301","No data","","","","Not available."
"obesewm","EQ_DHS","PUBLISHED","2011","SEAR","BGD","","","","BGDDHS201106","1.4 [0.9-2.1]","1.40688","0.92230","2.14056",""
"obesewm","EQ_MICS","PUBLISHED","2012","SEAR","BGD","","","","BGDMICS201207","No data","","","","Not available."
"obesewm","EQ_DHS","PUBLISHED","1999","SEAR","BGD","","","","BGDDHS199901","0.5 [0.2-1.8]","0.52920","0.15382","1.80411",""
"obesewm","EQ_DHS","PUBLISHED","2011","SEAR","BGD","","","","BGDDHS201101","1.8 [1.3-2.5]","1.78913","1.25875","2.53725",""
"obesewm","EQ_DHS","PUBLISHED","1996","SEAR","BGD","","","","BGDDHS199602","1.1 [0.6-2.4]","1.14761","0.55622","2.35293",""
"obesewm","EQ_MICS","PUBLISHED","2006","SEAR","BGD","","","","BGDMICS200602","No data","","","","Not available."
"obesewm","EQ_DHS","PUBLISHED","2014","SEAR","BGD","","","","BGDDHS201402","5.6 [4.3-7.2]","5.58005","4.32213","7.17663",""
"obesewm","EQ_DHS","PUBLISHED","2004","SEAR","BGD","","","","BGDDHS200403","2.0 [1.4-2.8]","1.96817","1.36328","2.83375",""
"obesewm","EQ_DHS","PUBLISHED","2011","SEAR","BGD","","","","BGDDHS201103","3.6 [3.0-4.5]","3.64557","2.95063","4.49661",""
"obesewm","EQ_DHS","PUBLISHED","1996","SEAR","BGD","","","","BGDDHS199604","0.2 [0.2-0.2]","0.20938","0.18892","0.23204",""
"obesewm","EQ_DHS","PUBLISHED","2014","SEAR","BGD","","","","BGDDHS201404","4.9 [4.0-6.0]","4.88200","3.96768","5.99386",""
"obesewm","EQ_DHS","PUBLISHED","2011","SEAR","BGD","","","","BGDDHS201105","2.5 [1.8-3.3]","2.46806","1.82872","3.32336",""
