"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SUBSTANCETYPE","Display Value","Numeric","Low","High","Comments"
"RSUD_8","PUBLISHED","2008","AMR","PER","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","WPR","PHL","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","WPR","PHL","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","EUR","POL","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","EUR","POL","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","WPR","KOR","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","EUR","MDA","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","EUR","MDA","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","EUR","RUS","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","EUR","RUS","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","AFR","RWA","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","RWA","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","AMR","LCA","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","AMR","LCA","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","EUR","SMR","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","EUR","SMR","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","STP","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","STP","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","EMR","SAU","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","EMR","SAU","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","SEN","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","SEN","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","EUR","SRB","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","EUR","SRB","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","SYC","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","SYC","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","SLE","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","SLE","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","WPR","SGP","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","WPR","SGP","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","EUR","SVK","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","EUR","SVK","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","EUR","SVN","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","EUR","SVN","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","AFR","ZAF","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","AFR","ZAF","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","EUR","ESP","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","EUR","ESP","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","SEAR","LKA","DRUGS","yes","","","",""
