"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","RSUDPREVENTIONPROGRAMME","Display Value","Numeric","Low","High","Comments"
"RSUD_600","PUBLISHED","2014","AMR","MEX","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","WPR","MHL","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","WPR","MHL","ADS_IN_PUBLIC","No data","","","",""
"RSUD_600","PUBLISHED","2014","WPR","MHL","MASS_MEDIA_AUDIOVISUAL","No data","","","",""
"RSUD_600","PUBLISHED","2014","WPR","MHL","MASS_MEDIA_PRINT","No data","","","",""
"RSUD_600","PUBLISHED","2014","WPR","MHL","SCHOOL_MANUAL_BASED","No data","","","",""
"RSUD_600","PUBLISHED","2014","WPR","MHL","WORK_PLACE_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","WPR","MHL","COMMUNITY_BASED_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","WPR","MHL","PARENT_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","MKD","COMMUNITY_BASED_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","MKD","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","AFR","MLI","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","MLT","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","SEAR","MMR","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","SEAR","MMR","PARENT_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","MNE","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","WPR","MNG","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","AFR","MOZ","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","AFR","MRT","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","AFR","MUS","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","AFR","MWI","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","WPR","MYS","ADS_IN_PUBLIC","No data","","","",""
"RSUD_600","PUBLISHED","2014","WPR","MYS","COMMUNITY_BASED_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","WPR","MYS","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","WPR","MYS","PARENT_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","AFR","NAM","MASS_MEDIA_AUDIOVISUAL","No data","","","",""
"RSUD_600","PUBLISHED","2014","AFR","NAM","MASS_MEDIA_PRINT","No data","","","",""
"RSUD_600","PUBLISHED","2014","AFR","NAM","WORK_PLACE_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","AFR","NAM","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","AFR","NAM","PARENT_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","AFR","NER","ADS_IN_PUBLIC","No data","","","",""
"RSUD_600","PUBLISHED","2014","AFR","NER","MASS_MEDIA_AUDIOVISUAL","No data","","","",""
"RSUD_600","PUBLISHED","2014","AFR","NER","MASS_MEDIA_PRINT","No data","","","",""
"RSUD_600","PUBLISHED","2014","AFR","NER","SCHOOL_MANUAL_BASED","No data","","","",""
"RSUD_600","PUBLISHED","2014","AFR","NER","WORK_PLACE_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","AFR","NER","COMMUNITY_BASED_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","AFR","NER","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","AFR","NER","PARENT_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","AFR","NGA","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","AMR","NIC","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","AMR","NIC","ADS_IN_PUBLIC","No data","","","",""
"RSUD_600","PUBLISHED","2014","AMR","NIC","MASS_MEDIA_AUDIOVISUAL","No data","","","",""
"RSUD_600","PUBLISHED","2014","AMR","NIC","MASS_MEDIA_PRINT","No data","","","",""
"RSUD_600","PUBLISHED","2014","AMR","NIC","SCHOOL_MANUAL_BASED","No data","","","",""
"RSUD_600","PUBLISHED","2014","AMR","NIC","WORK_PLACE_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","AMR","NIC","COMMUNITY_BASED_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","AMR","NIC","PARENT_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","WPR","NIU","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","WPR","NIU","ADS_IN_PUBLIC","No data","","","",""
"RSUD_600","PUBLISHED","2014","WPR","NIU","MASS_MEDIA_AUDIOVISUAL","No data","","","",""
"RSUD_600","PUBLISHED","2014","WPR","NIU","MASS_MEDIA_PRINT","No data","","","",""
"RSUD_600","PUBLISHED","2014","WPR","NIU","SCHOOL_MANUAL_BASED","No data","","","",""
"RSUD_600","PUBLISHED","2014","WPR","NIU","WORK_PLACE_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","WPR","NIU","COMMUNITY_BASED_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","WPR","NIU","PARENT_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","NLD","ADS_IN_PUBLIC","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","NLD","MASS_MEDIA_AUDIOVISUAL","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","NLD","MASS_MEDIA_PRINT","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","NLD","COMMUNITY_BASED_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","NLD","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","NLD","PARENT_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","NOR","ADS_IN_PUBLIC","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","NOR","MASS_MEDIA_PRINT","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","NOR","SCHOOL_MANUAL_BASED","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","NOR","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","SEAR","NPL","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","WPR","NRU","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","WPR","NRU","ADS_IN_PUBLIC","No data","","","",""
"RSUD_600","PUBLISHED","2014","WPR","NRU","MASS_MEDIA_AUDIOVISUAL","No data","","","",""
"RSUD_600","PUBLISHED","2014","WPR","NRU","MASS_MEDIA_PRINT","No data","","","",""
