"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","WORLDBANKINCOMEGROUP","UNSDGREGION","Display Value","Numeric","Low","High","Comments"
"NUTUNDERWEIGHTNUM","PUBLISHED","2019","","","","UNSDG_SOUTHAMR","0.8 [0.5-1.1]","0.80000","0.50000","1.10000","Consecutive Low Population Coverage"
"NUTUNDERWEIGHTNUM","PUBLISHED","2019","","","","UNSDG_CENTRALASIASOUTHERNASIA","47.2 [36.3-58.2]","47.20000","36.30000","58.20000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2019","","","","UNSDG_EASTERNASIASOUTHEASTERNASIA","9.4 [7.5-11.2]","9.40000","7.50000","11.20000","excluding Japan"
"NUTUNDERWEIGHTNUM","PUBLISHED","2019","","","","UNSDG_WESTERNASIA","1.0 [0.3-3.2]","1.00000","0.30000","3.20000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2019","","","","UNSDG_NORTHERNAMR","0.1","0.10000","","","regional average is based only on United States data, hence confidence intervals are not provided"
"NUTUNDERWEIGHTNUM","PUBLISHED","2019","","","","UNSDG_LDC","32.3 [22.8-44.4]","32.30000","22.80000","44.40000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2019","","","","UNSDG_OCEANIAexAUSNZL","0.3 [0.2-0.4]","0.30000","0.20000","0.40000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2019","","","","UNSDG_CENTRALASIA","0.2 [0.2-0.3]","0.20000","0.20000","0.30000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2019","","","","UNSDG_SOUTHERNAFR","0.6 [0.4-0.7]","0.60000","0.40000","0.70000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2019","","","","UNSDG_WESTERNASIANORTHERNAFR","2.5 [0.8-4.3]","2.50000","0.80000","4.30000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2019","","","","UNSDG_SUBSAHARANAFRICA","26.6 [23.6-29.6]","26.60000","23.60000","29.60000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2019","","","","UNSDG_LAC","1.4 [1.0-1.8]","1.40000","1.00000","1.80000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","1990","","35","","","17.5 [15.2-20.0]","17.50000","15.20000","20.00000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","1990","","198","","","38.3 [30.6-46.4]","38.30000","30.60000","46.40000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","1990","","17","","","3.2 [2.3-4.3]","3.20000","2.30000","4.30000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","1990","","419","","","4.2 [3.0-5.4]","4.20000","3.00000","5.40000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","1990","","14","","","10.4 [8.5-12.5]","10.40000","8.50000","12.50000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","1990","","13","","","1.7 [1.0-2.7]","1.70000","1.00000","2.70000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","1990","","197","","","158.0 [145.6-170.3]","158.00000","145.60000","170.30000","Only Less Developed Regions are displayed, while the aggregates of the More Developed Regions are not displayed due to insufficient population coverage"
"NUTUNDERWEIGHTNUM","PUBLISHED","1990","","21","","","0.2","0.20000","","","regional average is based only on United States data, hence confidence intervals are not provided"
"NUTUNDERWEIGHTNUM","PUBLISHED","1990","","29","","","0.3 [0.2-0.6]","0.30000","0.20000","0.60000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","1990","","34","","","86.0 [74.5-97.5]","86.00000","74.50000","97.50000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","1990","","15","","","2.4 [1.5-3.6]","2.40000","1.50000","3.60000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","1990","","2","","","25.6 [22.8-28.4]","25.60000","22.80000","28.40000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","1990","","11","","","8.7 [7.4-10.1]","8.70000","7.40000","10.10000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","1990","","64","","","87.1 [75.5-98.6]","87.10000","75.50000","98.60000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","1990","","543","","","0.2 [0.1-0.3]","0.20000","0.10000","0.30000","Consecutive Low Population Coverage"
"NUTUNDERWEIGHTNUM","PUBLISHED","1990","","142","","","128.0 [116.0-139.9]","128.00000","116.00000","139.90000","excluding Japan"
"NUTUNDERWEIGHTNUM","PUBLISHED","1990","","30","","","20.5 [18.8-22.2]","20.50000","18.80000","22.20000","excluding Japan"
"NUTUNDERWEIGHTNUM","PUBLISHED","1990","","145","","","2.9 [2.2-3.9]","2.90000","2.20000","3.90000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","1990","","5","","","2.2 [1.5-3.3]","2.20000","1.50000","3.30000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","1990","","18","","","1.0 [0.8-1.2]","1.00000","0.80000","1.20000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","1995","","29","","","0.3 [0.2-0.5]","0.30000","0.20000","0.50000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","1995","","35","","","15.5 [13.7-17.5]","15.50000","13.70000","17.50000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","1995","","17","","","3.5 [2.5-4.6]","3.50000","2.50000","4.60000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","1995","","5","","","1.9 [1.3-2.8]","1.90000","1.30000","2.80000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","1995","","11","","","9.0 [7.7-10.4]","9.00000","7.70000","10.40000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","1995","","64","","","81.3 [69.8-92.9]","81.30000","69.80000","92.90000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","1995","","14","","","10.4 [8.6-12.4]","10.40000","8.60000","12.40000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","1995","","145","","","2.5 [1.6-3.7]","2.50000","1.60000","3.70000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","1995","","197","","","139.9 [127.7-152.0]","139.90000","127.70000","152.00000","Only Less Developed Regions are displayed, while the aggregates of the More Developed Regions are not displayed due to insufficient population coverage"
"NUTUNDERWEIGHTNUM","PUBLISHED","1995","","13","","","1.4 [0.9-2.3]","1.40000","0.90000","2.30000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","1995","","34","","","80.6 [69.2-92.2]","80.60000","69.20000","92.20000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","1995","","30","","","11.0 [10.1-12.0]","11.00000","10.10000","12.00000","excluding Japan"
"NUTUNDERWEIGHTNUM","PUBLISHED","1995","","2","","","25.7 [23.0-28.5]","25.70000","23.00000","28.50000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","1995","","142","","","110.4 [98.6-122.1]","110.40000","98.60000","122.10000","excluding Japan"
"NUTUNDERWEIGHTNUM","PUBLISHED","1995","","198","","","38.2 [30.0-47.1]","38.20000","30.00000","47.10000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","1995","","18","","","0.8 [0.7-1.1]","0.80000","0.70000","1.10000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","1995","","543","","","0.2 [0.1-0.3]","0.20000","0.10000","0.30000","Consecutive Low Population Coverage"
"NUTUNDERWEIGHTNUM","PUBLISHED","1995","","15","","","2.1 [1.2-3.3]","2.10000","1.20000","3.30000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","1995","","419","","","3.6 [2.5-4.6]","3.60000","2.50000","4.60000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","1995","","143","","","0.8 [0.5-1.2]","0.80000","0.50000","1.20000",""
