"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","COUNTRY","RESIDENCEAREATYPE","Display Value","Numeric","Low","High","Comments"
"SDGPM25","PUBLISHED","2016","AFR","","KEN","TOTL","25.9 [17.8-44.1]","25.85442","17.77981","44.06923",""
"SDGPM25","PUBLISHED","2016","AFR","","KEN","URB","25.8 [17.3-44.9]","25.78207","17.33465","44.90006",""
"SDGPM25","PUBLISHED","2016","EUR","","KGZ","URB","17.4 [12.4-36.8]","17.35359","12.43054","36.75083",""
"SDGPM25","PUBLISHED","2016","EUR","","KGZ","TOTL","18.1 [12.8-35.2]","18.12413","12.77193","35.24117",""
"SDGPM25","PUBLISHED","2016","WPR","","KHM","TOTL","24.0 [14.4-38.0]","23.98061","14.43865","37.95663",""
"SDGPM25","PUBLISHED","2016","WPR","","KHM","URB","24.9 [14.6-40.3]","24.93058","14.56005","40.31276",""
"SDGPM25","PUBLISHED","2016","WPR","","KIR","TOTL","10.5 [4.7-24.1]","10.45336","4.68675","24.09954",""
"SDGPM25","PUBLISHED","2016","WPR","","KIR","URB","10.9 [4.7-26.7]","10.94896","4.71534","26.65261",""
"SDGPM25","PUBLISHED","2016","AMR","","KNA","TOTL","12.3 [8.2-19.5]","12.31007","8.16868","19.47309",""
"SDGPM25","PUBLISHED","2016","AMR","","KNA","URB","12.3 [8.2-19.6]","12.32225","8.17253","19.55017",""
"SDGPM25","PUBLISHED","2016","WPR","","KOR","TOTL","24.6 [23.4-26.3]","24.57240","23.36368","26.28126",""
"SDGPM25","PUBLISHED","2016","WPR","","KOR","URB","24.7 [23.4-26.5]","24.68466","23.43704","26.49373",""
"SDGPM25","PUBLISHED","2016","EMR","","KWT","TOTL","57.2 [49.7-72.1]","57.17150","49.71323","72.09598",""
"SDGPM25","PUBLISHED","2016","EMR","","KWT","URB","58.9 [51.6-74.3]","58.93685","51.56639","74.33125",""
"SDGPM25","PUBLISHED","2016","WPR","","LAO","TOTL","24.5 [19.1-35.0]","24.48799","19.08339","34.95189",""
"SDGPM25","PUBLISHED","2016","WPR","","LAO","URB","25.5 [19.3-37.4]","25.50368","19.34527","37.35359",""
"SDGPM25","PUBLISHED","2016","EMR","","LBN","URB","30.7 [23.6-39.4]","30.68881","23.64410","39.37210",""
"SDGPM25","PUBLISHED","2016","EMR","","LBN","TOTL","30.7 [23.6-39.4]","30.67207","23.63050","39.38632",""
"SDGPM25","PUBLISHED","2016","AFR","","LBR","TOTL","17.2 [11.2-28.2]","17.19426","11.19572","28.18384",""
"SDGPM25","PUBLISHED","2016","AFR","","LBR","URB","17.0 [10.4-29.6]","17.03841","10.44846","29.55507",""
"SDGPM25","PUBLISHED","2016","EMR","","LBY","TOTL","44.2 [27.4-97.7]","44.16623","27.42044","97.68154",""
"SDGPM25","PUBLISHED","2016","EMR","","LBY","URB","41.7 [19.2-93.5]","41.73901","19.15232","93.50745",""
"SDGPM25","PUBLISHED","2016","AMR","","LCA","URB","21.2 [12.5-40.2]","21.24737","12.46139","40.16047",""
"SDGPM25","PUBLISHED","2016","AMR","","LCA","TOTL","21.2 [12.4-40.1]","21.22468","12.44174","40.09448",""
"SDGPM25","PUBLISHED","2016","SEAR","","LKA","URB","15.1 [9.6-19.8]","15.08766","9.63782","19.83024",""
"SDGPM25","PUBLISHED","2016","SEAR","","LKA","TOTL","15.2 [9.7-19.9]","15.24948","9.69199","19.93155",""
"SDGPM25","PUBLISHED","2016","AFR","","LSO","TOTL","27.8 [16.8-43.4]","27.77616","16.81668","43.44470",""
"SDGPM25","PUBLISHED","2016","AFR","","LSO","URB","28.1 [16.9-43.3]","28.08657","16.86485","43.28594",""
"SDGPM25","PUBLISHED","2016","EUR","","LTU","URB","12.3 [11.5-13.9]","12.30080","11.49230","13.93908",""
"SDGPM25","PUBLISHED","2016","EUR","","LTU","TOTL","11.5 [10.6-12.9]","11.48784","10.63930","12.92432",""
"SDGPM25","PUBLISHED","2016","EUR","","LUX","URB","10.4 [9.8-11.1]","10.38529","9.78166","11.09567",""
"SDGPM25","PUBLISHED","2016","EUR","","LUX","TOTL","10.2 [9.5-10.9]","10.21216","9.51157","10.88295",""
"SDGPM25","PUBLISHED","2016","EUR","","LVA","TOTL","12.7 [11.9-15.4]","12.72071","11.86697","15.40045",""
"SDGPM25","PUBLISHED","2016","EUR","","LVA","URB","14.4 [13.5-17.2]","14.37157","13.48914","17.16887",""
"SDGPM25","PUBLISHED","2016","EMR","","MAR","TOTL","31.0 [24.0-44.9]","30.98715","23.95957","44.86640",""
"SDGPM25","PUBLISHED","2016","EMR","","MAR","URB","31.1 [24.3-44.2]","31.09616","24.26173","44.23335",""
"SDGPM25","PUBLISHED","2016","EUR","","MCO","TOTL","12.2 [9.7-15.3]","12.20286","9.68483","15.33149",""
"SDGPM25","PUBLISHED","2016","EUR","","MCO","URB","12.2 [9.7-15.3]","12.20286","9.68483","15.33149",""
"SDGPM25","PUBLISHED","2016","EUR","","MDA","TOTL","16.0 [11.2-22.3]","15.96651","11.20281","22.34483",""
"SDGPM25","PUBLISHED","2016","EUR","","MDA","URB","16.5 [11.3-23.1]","16.49260","11.28454","23.08003",""
"SDGPM25","PUBLISHED","2016","AFR","","MDG","TOTL","21.4 [13.7-36.0]","21.43817","13.65558","36.04926",""
"SDGPM25","PUBLISHED","2016","AFR","","MDG","URB","22.5 [14.6-35.8]","22.47518","14.56621","35.81480",""
"SDGPM25","PUBLISHED","2016","SEAR","","MDV","URB","7.7 [6.1-10.0]","7.67386","6.13578","9.98036",""
"SDGPM25","PUBLISHED","2016","SEAR","","MDV","TOTL","7.6 [6.1-9.9]","7.63300","6.09926","9.86044",""
"SDGPM25","PUBLISHED","2016","AMR","","MEX","URB","20.9 [17.3-28.3]","20.87604","17.31480","28.30656",""
