"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"WHOSIS_000010","PUBLISHED","2008","EUR","WB_UMI","TUR","MLE","22.8 [20.0-25.4]","22.80000","20.00000","25.40000",""
"WHOSIS_000010","PUBLISHED","2008","WPR","","TUV","MLE","...","","","",""
"WHOSIS_000010","PUBLISHED","2008","AFR","WB_LI","TZA","MLE","4.0 [1.3-8.1]","4.00000","1.30000","8.10000",""
"WHOSIS_000010","PUBLISHED","2008","AMR","WB_UMI","URY","MLE","20.7 [15.1-26.2]","20.70000","15.10000","26.20000",""
"WHOSIS_000010","PUBLISHED","2008","AFR","WB_LI","ZWE","MLE","2.8 [1.4-4.8]","2.80000","1.40000","4.80000",""
"WHOSIS_000010","PUBLISHED","2008","EUR","WB_LMI","ALB","FMLE","20.5 [9.6-32.3]","20.50000","9.60000","32.30000",""
"WHOSIS_000010","PUBLISHED","2008","WPR","WB_HI","AUS","FMLE","24.9 [21.0-28.9]","24.90000","21.00000","28.90000",""
"WHOSIS_000010","PUBLISHED","2008","EUR","WB_LMI","AZE","FMLE","32.1 [25.8-38.3]","32.10000","25.80000","38.30000",""
"WHOSIS_000010","PUBLISHED","2008","EUR","WB_UMI","BLR","FMLE","26.4 [9.3-44.7]","26.40000","9.30000","44.70000",""
"WHOSIS_000010","PUBLISHED","2008","AMR","WB_LMI","BLZ","FMLE","45.4 [38.6-52.2]","45.40000","38.60000","52.20000",""
"WHOSIS_000010","PUBLISHED","2008","WPR","WB_HI","BRN","FMLE","7.2 [0.8-21.0]","7.20000","0.80000","21.00000",""
"WHOSIS_000010","PUBLISHED","2008","AFR","WB_LI","BFA","FMLE","3.0 [1.4-5.5]","3.00000","1.40000","5.50000",""
"WHOSIS_000010","PUBLISHED","2008","AFR","WB_LI","TCD","FMLE","3.8 [1.8-6.8]","3.80000","1.80000","6.80000",""
"WHOSIS_000010","PUBLISHED","2008","WPR","WB_LMI","CHN","FMLE","6.5 [4.5-8.8]","6.50000","4.50000","8.80000",""
"WHOSIS_000010","PUBLISHED","2008","AMR","WB_UMI","CRI","FMLE","28.3 [21.6-35.3]","28.30000","21.60000","35.30000",""
"WHOSIS_000010","PUBLISHED","2008","EUR","WB_HI","HRV","FMLE","19.4 [10.2-29.2]","19.40000","10.20000","29.20000",""
"WHOSIS_000010","PUBLISHED","2008","EMR","WB_LMI","DJI","FMLE","13.8 [2.8-30.4]","13.80000","2.80000","30.40000",""
"WHOSIS_000010","PUBLISHED","2008","AMR","WB_UMI","DOM","FMLE","29.3 [19.2-39.6]","29.30000","19.20000","39.60000",""
"WHOSIS_000010","PUBLISHED","2008","AFR","WB_LI","ETH","FMLE","1.6 [0.8-2.9]","1.60000","0.80000","2.90000",""
"WHOSIS_000010","PUBLISHED","2008","EUR","WB_HI","FIN","FMLE","18.6 [14.0-23.6]","18.60000","14.00000","23.60000",""
"WHOSIS_000010","PUBLISHED","2008","EUR","WB_HI","DEU","FMLE","19.2 [14.3-24.2]","19.20000","14.30000","24.20000",""
"WHOSIS_000010","PUBLISHED","2008","EUR","WB_HI","GRC","FMLE","16.1 [9.6-22.8]","16.10000","9.60000","22.80000",""
"WHOSIS_000010","PUBLISHED","2008","AMR","WB_LMI","HND","FMLE","26.3 [20.0-31.8]","26.30000","20.00000","31.80000",""
"WHOSIS_000010","PUBLISHED","2008","EUR","WB_HI","ISL","FMLE","20.3 [9.6-32.3]","20.30000","9.60000","32.30000",""
"WHOSIS_000010","PUBLISHED","2008","EUR","WB_HI","ITA","FMLE","14.9 [10.6-19.5]","14.90000","10.60000","19.50000",""
"WHOSIS_000010","PUBLISHED","2008","WPR","WB_HI","JPN","FMLE","3.5 [2.3-4.8]","3.50000","2.30000","4.80000",""
"WHOSIS_000010","PUBLISHED","2008","EMR","WB_HI","KWT","FMLE","52.4 [46.7-58.0]","52.40000","46.70000","58.00000",""
"WHOSIS_000010","PUBLISHED","2008","WPR","WB_LI","LAO","FMLE","4.1 [1.8-7.5]","4.10000","1.80000","7.50000",""
"WHOSIS_000010","PUBLISHED","2008","EMR","WB_UMI","LBN","FMLE","29.7 [25.2-34.3]","29.70000","25.20000","34.30000",""
"WHOSIS_000010","PUBLISHED","2008","EUR","WB_HI","LUX","FMLE","22.2 [10.2-35.4]","22.20000","10.20000","35.40000",""
"WHOSIS_000010","PUBLISHED","2008","AFR","WB_LI","MWI","FMLE","6.2 [4.2-8.5]","6.20000","4.20000","8.50000",""
"WHOSIS_000010","PUBLISHED","2008","AFR","WB_UMI","MUS","FMLE","23.0 [13.3-31.8]","23.00000","13.30000","31.80000",""
"WHOSIS_000010","PUBLISHED","2008","WPR","WB_LMI","FSM","FMLE","53.4 [44.2-62.5]","53.40000","44.20000","62.50000",""
"WHOSIS_000010","PUBLISHED","2008","AFR","WB_LI","MOZ","FMLE","7.8 [4.5-11.6]","7.80000","4.50000","11.60000",""
"WHOSIS_000010","PUBLISHED","2008","AFR","WB_UMI","NAM","FMLE","16.8 [11.9-22.1]","16.80000","11.90000","22.10000",""
"WHOSIS_000010","PUBLISHED","2008","SEAR","WB_LI","NPL","FMLE","1.6 [0.8-2.9]","1.60000","0.80000","2.90000",""
"WHOSIS_000010","PUBLISHED","2008","AFR","WB_LMI","NGA","FMLE","9.0 [6.4-11.8]","9.00000","6.40000","11.80000",""
"WHOSIS_000010","PUBLISHED","2008","EUR","WB_HI","NOR","FMLE","17.9 [12.3-24.0]","17.90000","12.30000","24.00000",""
"WHOSIS_000010","PUBLISHED","2008","AMR","WB_UMI","PER","FMLE","21.7 [17.4-25.9]","21.70000","17.40000","25.90000",""
"WHOSIS_000010","PUBLISHED","2008","EUR","WB_UMI","POL","FMLE","22.9 [18.4-27.9]","22.90000","18.40000","27.90000",""
