"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","WEALTHDECILE","Display Value","Numeric","Low","High","Comments"
"vita","EQ_DHS","PUBLISHED","2014","AFR","TCD","","","","","TCDDHS201411","","65.4 [58.6-71.6]","65.00000","59.00000","72.00000",""
"vita","EQ_DHS","PUBLISHED","2000","AMR","COL","","","","","COLDHS200002","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","2000","AMR","COL","","","","","COLDHS200003","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","2000","AMR","COL","","","","","COLDHS200005","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","2010","AMR","COL","","","","","COLDHS201001","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","2010","AMR","COL","","","","","COLDHS201002","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","2015","AMR","COL","","","","","COLDHS201504","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","2015","AMR","COL","","","","","COLDHS201505","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","1996","AFR","COM","","","","","COMDHS199603","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","2005","AFR","COG","","","","","COGDHS200501","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","2011","AFR","COG","","","","","COGDHS201101","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","2011","AFR","COG","","","","","COGDHS201101","","72.0 [67.7-76.0]","72.00000","68.00000","76.00000",""
"vita","EQ_DHS","PUBLISHED","2011","AFR","COG","","","","","COGDHS201108","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","2011","AFR","COG","","","","","COGDHS201108","","60.2 [50.3-69.3]","60.00000","50.00000","69.00000",""
"vita","EQ_DHS","PUBLISHED","2011","AFR","COG","","","","","COGDHS201109","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","2014","AFR","COG","","","","","COGMICS201401","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","2014","AFR","COG","","","","","COGMICS201401","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","2014","AFR","COG","","","","","COGMICS201402","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","2014","AFR","COG","","","","","COGMICS201409","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","2014","AFR","COG","","","","","COGMICS201409","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","2014","AFR","COG","","","","","COGMICS201410","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","2006","AMR","CUB","","","","","CUBMICS200604","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","1994","AFR","CIV","","","","","CIVDHS199410","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","1998","AFR","CIV","","","","","CIVDHS199801","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","2006","AFR","CIV","","","","","CIVMICS200606","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","2006","AFR","CIV","","","","","CIVMICS200607","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","2006","AFR","CIV","","","","","CIVMICS200608","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","2011","AFR","CIV","","","","","CIVDHS201107","","42.8 [30.4-56.2]","43.00000","30.00000","56.00000",""
"vita","EQ_DHS","PUBLISHED","2011","AFR","CIV","","","","","CIVDHS201108","","51.4 [43.4-59.3]","51.00000","43.00000","59.00000",""
"vita","EQ_MICS","PUBLISHED","2016","AFR","CIV","","","","","CIVMICS201607","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","2016","AFR","CIV","","","","","CIVMICS201608","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","2001","AFR","COD","","","","","CODMICS200103","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","2001","AFR","COD","","","","","CODMICS200104","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","2001","AFR","COD","","","","","CODMICS200106","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","2007","AFR","COD","","","","","CODDHS200708","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","2007","AFR","COD","","","","","CODDHS200708","","57.6 [44.2-69.9]","58.00000","44.00000","70.00000",""
"vita","EQ_MICS","PUBLISHED","2010","AFR","COD","","","","","CODMICS201001","","84.1 [80.6-87.1]","84.00000","81.00000","87.00000",""
"vita","EQ_MICS","PUBLISHED","2010","AFR","COD","","","","","CODMICS201008","","81.4 [75.4-86.3]","81.00000","75.00000","86.00000",""
"vita","EQ_MICS","PUBLISHED","2010","AFR","COD","","","","","CODMICS201008","","No data","","","","Not available."
