"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","Display Value","Numeric","Low","High","Comments"
"EQ_KNHIV","EQ_DHS","PUBLISHED","2006","AFR","NAM","","FMLE","RUR","","79.5","79.50000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2006","AFR","NAM","EDLVL00TO05YR","FMLE","","","73.0","73.00000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2006","AFR","NAM","EDLVL06TO11YR","FMLE","","","80.5","80.50000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2006","AFR","NAM","EDLVL12PLUSYR","FMLE","","","86.4","86.40000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2006","AFR","NAM","","FMLE","","WQ1","75.8","75.80000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2006","AFR","NAM","","FMLE","","WQ2","80.5","80.50000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2006","AFR","NAM","","FMLE","","WQ3","80.7","80.70000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2006","AFR","NAM","","FMLE","","WQ4","82.9","82.90000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2006","AFR","NAM","","FMLE","","WQ5","84.2","84.20000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2013","AFR","NAM","","FMLE","","","84.3","84.30000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2013","AFR","NAM","","FMLE","URB","","87.0","87.00000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2013","AFR","NAM","","FMLE","RUR","","80.8","80.80000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2013","AFR","NAM","EDLVL00TO05YR","FMLE","","","77.4","77.40000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2013","AFR","NAM","EDLVL06TO11YR","FMLE","","","85.1","85.10000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2013","AFR","NAM","EDLVL12PLUSYR","FMLE","","","91.4","91.40000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2013","AFR","NAM","","FMLE","","WQ1","81.0","81.00000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2013","AFR","NAM","","FMLE","","WQ2","88.0","88.00000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2013","AFR","NAM","","FMLE","","WQ3","88.8","88.80000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2013","AFR","NAM","","FMLE","","WQ4","88.0","88.00000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2006","SEAR","NPL","","FMLE","RUR","","52.1","52.10000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","1998","AMR","NIC","EDLVL12PLUSYR","FMLE","","","22.7","22.70000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","1998","AMR","NIC","","FMLE","","WQ1","7.1","7.10000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","1998","AMR","NIC","","FMLE","","WQ2","13.5","13.50000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","1998","AMR","NIC","","FMLE","","WQ3","11.7","11.70000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","1998","AMR","NIC","","FMLE","","WQ4","11.3","11.30000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","1998","AMR","NIC","","FMLE","","WQ5","15.1","15.10000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2001","AMR","NIC","","FMLE","","","52.1","52.10000","","",""
