"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","RSUDTREATMENTLOCATION","Display Value","Numeric","Low","High","Comments"
"RSUD_650","PUBLISHED","2014","AMR","MEX","IN_THE_CAPITAL_CITY","Yes","","","",""
"RSUD_650","PUBLISHED","2014","AMR","MEX","IN_OTHER_MAJOR_CITIES","Yes","","","",""
"RSUD_650","PUBLISHED","2014","EUR","MKD","IN_THE_CAPITAL_CITY","No","","","",""
"RSUD_650","PUBLISHED","2014","EUR","MKD","IN_OTHER_MAJOR_CITIES","No","","","",""
"RSUD_650","PUBLISHED","2014","EUR","MKD","IN_OTHER_AREAS","No","","","",""
"RSUD_650","PUBLISHED","2014","AFR","MLI","IN_THE_CAPITAL_CITY","No","","","",""
"RSUD_650","PUBLISHED","2014","AFR","MLI","IN_OTHER_MAJOR_CITIES","No","","","",""
"RSUD_650","PUBLISHED","2014","AFR","MLI","IN_OTHER_AREAS","No","","","",""
"RSUD_650","PUBLISHED","2014","EUR","MLT","IN_OTHER_AREAS","Yes","","","",""
"RSUD_650","PUBLISHED","2014","SEAR","MMR","IN_THE_CAPITAL_CITY","No","","","",""
"RSUD_650","PUBLISHED","2014","SEAR","MMR","IN_OTHER_MAJOR_CITIES","No","","","",""
"RSUD_650","PUBLISHED","2014","SEAR","MMR","IN_OTHER_AREAS","No","","","",""
"RSUD_650","PUBLISHED","2014","EUR","MNE","IN_THE_CAPITAL_CITY","No","","","",""
"RSUD_650","PUBLISHED","2014","EUR","MNE","IN_OTHER_MAJOR_CITIES","No","","","",""
"RSUD_650","PUBLISHED","2014","EUR","MNE","IN_OTHER_AREAS","No","","","",""
"RSUD_650","PUBLISHED","2014","WPR","MNG","IN_THE_CAPITAL_CITY","No","","","",""
"RSUD_650","PUBLISHED","2014","WPR","MNG","IN_OTHER_MAJOR_CITIES","No","","","",""
"RSUD_650","PUBLISHED","2014","WPR","MNG","IN_OTHER_AREAS","No","","","",""
"RSUD_650","PUBLISHED","2014","AFR","MOZ","IN_THE_CAPITAL_CITY","No","","","",""
"RSUD_650","PUBLISHED","2014","AFR","MOZ","IN_OTHER_MAJOR_CITIES","No","","","",""
"RSUD_650","PUBLISHED","2014","AFR","MOZ","IN_OTHER_AREAS","No","","","",""
"RSUD_650","PUBLISHED","2014","AFR","MRT","IN_THE_CAPITAL_CITY","No","","","",""
"RSUD_650","PUBLISHED","2014","AFR","MRT","IN_OTHER_MAJOR_CITIES","No","","","",""
"RSUD_650","PUBLISHED","2014","AFR","MRT","IN_OTHER_AREAS","No","","","",""
"RSUD_650","PUBLISHED","2014","AFR","MUS","IN_THE_CAPITAL_CITY","No","","","",""
"RSUD_650","PUBLISHED","2014","AFR","MUS","IN_OTHER_MAJOR_CITIES","No","","","",""
"RSUD_650","PUBLISHED","2014","AFR","MUS","IN_OTHER_AREAS","No","","","",""
"RSUD_650","PUBLISHED","2014","AFR","MWI","IN_THE_CAPITAL_CITY","No","","","",""
"RSUD_650","PUBLISHED","2014","AFR","MWI","IN_OTHER_MAJOR_CITIES","No","","","",""
