"GHO","PUBLISHSTATE","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"M_def_1_prev_adult","PUBLISHED","WPR","PHL","MLE","44.7","44.70000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","UKR","MLE","48.0","48.00000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","BLR","MLE","48.6","48.60000","","",""
"M_def_1_prev_adult","PUBLISHED","WPR","SLB","MLE","56.1","56.10000","","",""
"M_def_1_prev_adult","PUBLISHED","SEAR","IDN","MLE","56.7","56.70000","","",""
"M_def_1_prev_adult","PUBLISHED","AFR","AGO","MLE","Not available","","","","Data not reported / not available"
"M_def_1_prev_adult","PUBLISHED","EUR","UKR","BTSX","Not available","","","","Data not reported / not available"
"M_def_1_prev_adult","PUBLISHED","EUR","MKD","MLE","Not available","","","","Data not reported / not available"
"M_def_1_prev_adult","PUBLISHED","EMR","SOM","FMLE","Not available","","","","Data not reported / not available"
"M_def_1_prev_adult","PUBLISHED","EMR","SOM","BTSX","Not available","","","","Data not reported / not available"
"M_def_1_prev_adult","PUBLISHED","AFR","GIN","MLE","Not available","","","","Data not reported / not available"
"M_def_1_prev_adult","PUBLISHED","AFR","GNB","MLE","Not available","","","","Data not reported / not available"
"M_def_1_prev_adult","PUBLISHED","AFR","MDG","BTSX","Not available","","","","Data not reported / not available"
"M_def_1_prev_adult","PUBLISHED","AFR","CAF","MLE","Not available","","","","Data not reported / not available"
"M_def_1_prev_adult","PUBLISHED","AMR","ATG","MLE","Not available","","","","Data not reported / not available"
"M_def_1_prev_adult","PUBLISHED","AFR","COD","BTSX","Not available","","","","Data not reported / not available"
"M_def_1_prev_adult","PUBLISHED","AFR","CMR","BTSX","Not available","","","","Data not reported / not available"
"M_def_1_prev_adult","PUBLISHED","AMR","ATG","FMLE","Not available","","","","Data not reported / not available"
"M_def_1_prev_adult","PUBLISHED","EUR","AZE","FMLE","0.0","0.00000","","",""
"M_def_1_prev_adult","PUBLISHED","SEAR","PRK","FMLE","0.0","0.00000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","TJK","FMLE","0.2","0.20000","","",""
"M_def_1_prev_adult","PUBLISHED","SEAR","LKA","FMLE","0.4","0.40000","","",""
"M_def_1_prev_adult","PUBLISHED","AFR","ETH","FMLE","0.8","0.80000","","",""
"M_def_1_prev_adult","PUBLISHED","EMR","LBY","FMLE","0.8","0.80000","","",""
"M_def_1_prev_adult","PUBLISHED","AFR","GMB","FMLE","1.0","1.00000","","",""
"M_def_1_prev_adult","PUBLISHED","AFR","TCD","FMLE","1.2","1.20000","","",""
"M_def_1_prev_adult","PUBLISHED","AFR","ZMB","FMLE","1.8","1.80000","","",""
"M_def_1_prev_adult","PUBLISHED","AMR","SLV","FMLE","2.2","2.20000","","",""
"M_def_1_prev_adult","PUBLISHED","EMR","ARE","FMLE","2.4","2.40000","","",""
"M_def_1_prev_adult","PUBLISHED","AMR","VCT","FMLE","2.5","2.50000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","KGZ","FMLE","2.7","2.70000","","",""
"M_def_1_prev_adult","PUBLISHED","EMR","IRQ","FMLE","2.9","2.90000","","",""
"M_def_1_prev_adult","PUBLISHED","SEAR","BTN","FMLE","3.1","3.10000","","",""
"M_def_1_prev_adult","PUBLISHED","AMR","DMA","FMLE","3.2","3.20000","","",""
"M_def_1_prev_adult","PUBLISHED","AFR","GAB","FMLE","3.4","3.40000","","",""
"M_def_1_prev_adult","PUBLISHED","WPR","KHM","FMLE","3.4","3.40000","","",""
"M_def_1_prev_adult","PUBLISHED","AMR","GTM","FMLE","3.5","3.50000","","",""
"M_def_1_prev_adult","PUBLISHED","AMR","GUY","FMLE","3.6","3.60000","","",""
"M_def_1_prev_adult","PUBLISHED","AFR","UGA","BTSX","5.8","5.80000","","",""
"M_def_1_prev_adult","PUBLISHED","AMR","BHS","FMLE","6.4","6.40000","","",""
"M_def_1_prev_adult","PUBLISHED","AMR","COL","FMLE","7.4","7.40000","","",""
"M_def_1_prev_adult","PUBLISHED","SEAR","BTN","BTSX","7.4","7.40000","","",""
"M_def_1_prev_adult","PUBLISHED","AFR","KEN","BTSX","7.8","7.80000","","",""
"M_def_1_prev_adult","PUBLISHED","AMR","CRI","FMLE","8.6","8.60000","","",""
"M_def_1_prev_adult","PUBLISHED","AMR","KNA","BTSX","8.7","8.70000","","",""
"M_def_1_prev_adult","PUBLISHED","AMR","PAN","MLE","9.4","9.40000","","",""
"M_def_1_prev_adult","PUBLISHED","AFR","CPV","BTSX","9.9","9.90000","","",""
"M_def_1_prev_adult","PUBLISHED","AFR","SLE","FMLE","10.5","10.50000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","UKR","FMLE","12.8","12.80000","","",""
"M_def_1_prev_adult","PUBLISHED","WPR","NIU","FMLE","13.0","13.00000","","",""
"M_def_1_prev_adult","PUBLISHED","WPR","TON","FMLE","13.4","13.40000","","",""
"M_def_1_prev_adult","PUBLISHED","AMR","BRB","MLE","14.2","14.20000","","",""
"M_def_1_prev_adult","PUBLISHED","AMR","PRY","BTSX","14.5","14.50000","","",""
"M_def_1_prev_adult","PUBLISHED","WPR","SGP","BTSX","15.0","15.00000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","ISL","MLE","16.0","16.00000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","ISL","BTSX","16.0","16.00000","","",""
