"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","IHRSPARCAPACITYLEVEL","Display Value","Numeric","Low","High","Comments"
"IHRSPAR_CAPACITY06","PUBLISHED","2018","WPR","AUS","IHRSPARCAPLEVEL06_C_6_2","20","20.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","AUT","IHRSPARCAPLEVEL06_C_6_2","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","AZE","IHRSPARCAPLEVEL06_C_6_2","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","BDI","IHRSPARCAPLEVEL06_C_6_2","40","40.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","BEL","IHRSPARCAPLEVEL06_C_6_2","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","BEN","IHRSPARCAPLEVEL06_C_6_2","20","20.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","BFA","IHRSPARCAPLEVEL06_C_6_2","40","40.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","SEAR","BGD","IHRSPARCAPLEVEL06_C_6_2","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","BGR","IHRSPARCAPLEVEL06_C_6_2","40","40.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EMR","BHR","IHRSPARCAPLEVEL06_C_6_2","20","20.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AMR","BHS","IHRSPARCAPLEVEL06_C_6_2","0","0.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","BIH","IHRSPARCAPLEVEL06_C_6_2","20","20.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","BLR","IHRSPARCAPLEVEL06_C_6_2","No data","","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AMR","BLZ","IHRSPARCAPLEVEL06_C_6_2","40","40.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AMR","BOL","IHRSPARCAPLEVEL06_C_6_2","Other","","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AMR","BRA","IHRSPARCAPLEVEL06_C_6_2","100","100.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AMR","BRB","IHRSPARCAPLEVEL06_C_6_2","No data","","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","WPR","BRN","IHRSPARCAPLEVEL06_C_6_2","No data","","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","SEAR","BTN","IHRSPARCAPLEVEL06_C_6_2","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","BWA","IHRSPARCAPLEVEL06_C_6_2","20","20.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","CAF","IHRSPARCAPLEVEL06_C_6_2","20","20.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AMR","CAN","IHRSPARCAPLEVEL06_C_6_2","100","100.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","CHE","IHRSPARCAPLEVEL06_C_6_2","Other","","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AMR","CHL","IHRSPARCAPLEVEL06_C_6_2","80","80.00000","","",""
