"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","ENVCAUSE","Display Value","Numeric","Low","High","Comments"
"AIR_51","PUBLISHED","2016","EUR","AZE","MLE","ENVCAUSE118","1 [0–3]","0.64688","0.00687","2.89769",""
"AIR_51","PUBLISHED","2016","AFR","BDI","BTSX","ENVCAUSE068","0 [0–0]","0.39177","0.31853","0.45461",""
"AIR_51","PUBLISHED","2016","AFR","BDI","BTSX","ENVCAUSE114","11 [9–12]","10.62313","9.16443","12.25079",""
"AIR_51","PUBLISHED","2016","AFR","BDI","BTSX","ENVCAUSE039","51 [40–59]","50.74924","40.07521","58.73865",""
"AIR_51","PUBLISHED","2016","AFR","BDI","BTSX","ENVCAUSE113","12 [11–13]","11.91740","10.61806","13.30893",""
"AIR_51","PUBLISHED","2016","AFR","BDI","BTSX","ENVCAUSE000","79 [68–88]","79.09581","67.70784","88.06005",""
"AIR_51","PUBLISHED","2016","AFR","BDI","BTSX","ENVCAUSE118","5 [3–7]","5.41426","3.30642","6.97583",""
"AIR_51","PUBLISHED","2016","EUR","AZE","BTSX","ENVCAUSE000","8 [0–28]","7.66759","0.10663","28.16878",""
"AIR_51","PUBLISHED","2016","EUR","AZE","BTSX","ENVCAUSE068","0 [0–2]","0.49604","0.00733","1.85638",""
"AIR_51","PUBLISHED","2016","EUR","AZE","BTSX","ENVCAUSE114","1 [0–5]","1.27837","0.01778","4.69416",""
"AIR_51","PUBLISHED","2016","EUR","AZE","BTSX","ENVCAUSE113","4 [0–16]","4.40494","0.06194","15.95166",""
"AIR_51","PUBLISHED","2016","EUR","AZE","BTSX","ENVCAUSE039","1 [0–2]","0.74302","0.01065","2.45777",""
"AIR_51","PUBLISHED","2016","EUR","AUT","MLE","ENVCAUSE118","0 [0–0]","0.00000","0.00000","0.00000",""
"AIR_51","PUBLISHED","2016","EUR","AUT","MLE","ENVCAUSE000","0 [0–0]","0.00000","0.00000","0.00000",""
"AIR_51","PUBLISHED","2016","EUR","AUT","MLE","ENVCAUSE113","0 [0–0]","0.00000","0.00000","0.00000",""
"AIR_51","PUBLISHED","2016","EUR","AUT","MLE","ENVCAUSE039","0 [0–0]","0.00000","0.00000","0.00000",""
"AIR_51","PUBLISHED","2016","EUR","AUT","MLE","ENVCAUSE114","0 [0–0]","0.00000","0.00000","0.00000",""
"AIR_51","PUBLISHED","2016","EUR","AUT","MLE","ENVCAUSE068","0 [0–0]","0.00000","0.00000","0.00000",""
"AIR_51","PUBLISHED","2016","EUR","AUT","FMLE","ENVCAUSE118","0 [0–0]","0.00000","0.00000","0.00000",""
"AIR_51","PUBLISHED","2016","EUR","AUT","FMLE","ENVCAUSE000","0 [0–0]","0.00000","0.00000","0.00000",""
"AIR_51","PUBLISHED","2016","EUR","AUT","FMLE","ENVCAUSE068","0 [0–0]","0.00000","0.00000","0.00000",""
"AIR_51","PUBLISHED","2016","EUR","AUT","FMLE","ENVCAUSE039","0 [0–0]","0.00000","0.00000","0.00000",""
"AIR_51","PUBLISHED","2016","EUR","AUT","FMLE","ENVCAUSE113","0 [0–0]","0.00000","0.00000","0.00000",""
"AIR_51","PUBLISHED","2016","EUR","AUT","FMLE","ENVCAUSE114","0 [0–0]","0.00000","0.00000","0.00000",""
"AIR_51","PUBLISHED","2016","EUR","AUT","BTSX","ENVCAUSE118","0 [0–0]","0.00000","0.00000","0.00000",""
"AIR_51","PUBLISHED","2016","EUR","AUT","BTSX","ENVCAUSE000","0 [0–0]","0.00000","0.00000","0.00000",""
"AIR_51","PUBLISHED","2016","EUR","AUT","BTSX","ENVCAUSE114","0 [0–0]","0.00000","0.00000","0.00000",""
"AIR_51","PUBLISHED","2016","EUR","AUT","BTSX","ENVCAUSE113","0 [0–0]","0.00000","0.00000","0.00000",""
"AIR_51","PUBLISHED","2016","EUR","AUT","BTSX","ENVCAUSE039","0 [0–0]","0.00000","0.00000","0.00000",""
"AIR_51","PUBLISHED","2016","EUR","AUT","BTSX","ENVCAUSE068","0 [0–0]","0.00000","0.00000","0.00000",""
"AIR_51","PUBLISHED","2016","WPR","AUS","MLE","ENVCAUSE000","0 [0–0]","0.00000","0.00000","0.00000",""
"AIR_51","PUBLISHED","2016","AFR","BDI","FMLE","ENVCAUSE114","12 [10–14]","11.96971","10.32418","13.82771",""
"AIR_51","PUBLISHED","2016","EUR","BEL","MLE","ENVCAUSE039","0 [0–0]","0.00000","0.00000","0.00000",""
"AIR_51","PUBLISHED","2016","EUR","BEL","MLE","ENVCAUSE114","0 [0–0]","0.00000","0.00000","0.00000",""
"AIR_51","PUBLISHED","2016","EUR","BEL","MLE","ENVCAUSE068","0 [0–0]","0.00000","0.00000","0.00000",""
"AIR_51","PUBLISHED","2016","EUR","BEL","MLE","ENVCAUSE118","0 [0–0]","0.00000","0.00000","0.00000",""
"AIR_51","PUBLISHED","2016","EUR","BEL","MLE","ENVCAUSE000","0 [0–0]","0.00000","0.00000","0.00000",""
"AIR_51","PUBLISHED","2016","AFR","BEN","BTSX","ENVCAUSE068","0 [0–0]","0.23292","0.18949","0.27487",""
"AIR_51","PUBLISHED","2016","AFR","BEN","BTSX","ENVCAUSE039","57 [45–67]","57.27923","44.85000","67.13020",""
"AIR_51","PUBLISHED","2016","AFR","BEN","BTSX","ENVCAUSE114","13 [11–15]","12.74660","10.80188","14.82471",""
"AIR_51","PUBLISHED","2016","AFR","BEN","BTSX","ENVCAUSE113","15 [13–17]","14.80542","12.94144","16.84152",""
"AIR_51","PUBLISHED","2016","AFR","BEN","BTSX","ENVCAUSE118","6 [4–8]","6.47844","4.23402","8.20582",""
"AIR_51","PUBLISHED","2016","AFR","BEN","BTSX","ENVCAUSE000","92 [78–103]","91.54261","78.22329","102.60214",""
"AIR_51","PUBLISHED","2016","AFR","BEN","FMLE","ENVCAUSE039","58 [45–67]","57.65184","45.22290","67.04524",""
"AIR_51","PUBLISHED","2016","AFR","BEN","FMLE","ENVCAUSE113","15 [13–18]","15.25671","13.09834","17.52265",""
"AIR_51","PUBLISHED","2016","AFR","BEN","FMLE","ENVCAUSE114","15 [12–18]","14.86376","12.45366","17.55554",""
"AIR_51","PUBLISHED","2016","AFR","BEN","FMLE","ENVCAUSE068","0 [0–0]","0.23752","0.19390","0.27535",""
"AIR_51","PUBLISHED","2016","AFR","BEN","FMLE","ENVCAUSE000","96 [82–106]","95.52642","82.38692","106.45873",""
"AIR_51","PUBLISHED","2016","AFR","BEN","FMLE","ENVCAUSE118","8 [6–9]","7.51660","5.50665","8.91822",""
"AIR_51","PUBLISHED","2016","AFR","BEN","MLE","ENVCAUSE068","0 [0–0]","0.22829","0.17057","0.27825",""
"AIR_51","PUBLISHED","2016","AFR","BDI","FMLE","ENVCAUSE039","49 [39–57]","49.13630","38.90115","56.59859",""
"AIR_51","PUBLISHED","2016","AFR","BDI","FMLE","ENVCAUSE113","11 [10–13]","11.31594","9.98871","12.77504",""
"AIR_51","PUBLISHED","2016","AFR","BDI","FMLE","ENVCAUSE068","0 [0–1]","0.43700","0.36070","0.50173",""
