"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","DHSMICSGEOREGION","Display Value","Numeric","Low","High","Comments"
"overwgt3","EQ_DHS","PUBLISHED","2007","SEAR","IDN","IDNDHS200701","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2007","SEAR","IDN","IDNDHS200702","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2007","SEAR","IDN","IDNDHS200703","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2007","SEAR","IDN","IDNDHS200717","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2007","SEAR","IDN","IDNDHS200718","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2007","SEAR","IDN","IDNDHS200719","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2007","SEAR","IDN","IDNDHS200720","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2007","SEAR","IDN","IDNDHS200733","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2012","SEAR","IDN","IDNDHS201205","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2012","SEAR","IDN","IDNDHS201206","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2012","SEAR","IDN","IDNDHS201207","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2012","SEAR","IDN","IDNDHS201208","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2012","SEAR","IDN","IDNDHS201222","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2012","SEAR","IDN","IDNDHS201223","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2012","SEAR","IDN","IDNDHS201224","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2012","SEAR","IDN","IDNDHS201225","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2008","AFR","MDG","MDGDHS200801","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2008","AFR","MDG","MDGDHS200802","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2008","AFR","MDG","MDGDHS200815","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2008","AFR","MDG","MDGDHS200816","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2008","AFR","MDG","MDGDHS200817","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2008","AFR","MDG","MDGDHS200818","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1993","WPR","PHL","PHLDHS199301","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1993","WPR","PHL","PHLDHS199302","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1998","WPR","PHL","PHLDHS199811","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1998","WPR","PHL","PHLDHS199812","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1998","WPR","PHL","PHLDHS199813","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1998","WPR","PHL","PHLDHS199814","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2003","WPR","PHL","PHLDHS200305","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2003","WPR","PHL","PHLDHS200306","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2003","WPR","PHL","PHLDHS200307","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2003","WPR","PHL","PHLDHS200308","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2008","WPR","PHL","PHLDHS200812","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2008","WPR","PHL","PHLDHS200813","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2008","WPR","PHL","PHLDHS200814","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2008","WPR","PHL","PHLDHS200815","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2013","WPR","PHL","PHLDHS201302","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2013","WPR","PHL","PHLDHS201303","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2013","WPR","PHL","PHLDHS201304","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2013","WPR","PHL","PHLDHS201305","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1997","AFR","SEN","SENDHS199702","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1997","AFR","SEN","SENDHS199703","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1997","AFR","SEN","SENDHS199704","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1997","WPR","VNM","VNMDHS199702","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1997","WPR","VNM","VNMDHS199703","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1997","WPR","VNM","VNMDHS199704","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1997","WPR","VNM","VNMDHS199705","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2002","WPR","VNM","VNMDHS200201","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2002","WPR","VNM","VNMDHS200202","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2002","WPR","VNM","VNMDHS200203","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2002","WPR","VNM","VNMDHS200204","No data","","","","Not available."
