"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","WORLDBANKINCOMEGROUP","UNSDGREGION","Display Value","Numeric","Low","High","Comments"
"NUTSTUNTINGPREV","PUBLISHED","2015","AFR","","","","34.5 [31.7-37.3]","34.50000","31.70000","37.30000",""
"NUTSTUNTINGPREV","PUBLISHED","2015","SEAR","","","","34.6 [30.6-38.8]","34.60000","30.60000","38.80000",""
"NUTSTUNTINGPREV","PUBLISHED","2015","WPR","","","","8.1 [4.9-13.3]","8.10000","4.90000","13.30000",""
"NUTSTUNTINGPREV","PUBLISHED","2019","AMR","","","","6.3 [3.8-10.3]","6.30000","3.80000","10.30000",""
"NUTSTUNTINGPREV","PUBLISHED","2019","EMR","","","","24.2 [15.6-35.5]","24.20000","15.60000","35.50000",""
"NUTSTUNTINGPREV","PUBLISHED","2019","AFR","","","","32.5 [29.8-35.3]","32.50000","29.80000","35.30000",""
"NUTSTUNTINGPREV","PUBLISHED","2019","WPR","","","","6.2 [3.4-11.1]","6.20000","3.40000","11.10000",""
"NUTSTUNTINGPREV","PUBLISHED","2019","SEAR","","","","31.0 [26.9-35.4]","31.00000","26.90000","35.40000",""
"NUTSTUNTINGPREV","PUBLISHED","2020","WPR","","","","5.8 [3.1-10.6]","5.80000","3.10000","10.60000",""
"NUTSTUNTINGPREV","PUBLISHED","2020","SEAR","","","","30.1 [26.0-34.6]","30.10000","26.00000","34.60000",""
"NUTSTUNTINGPREV","PUBLISHED","2020","AFR","","","","32.0 [29.3-34.9]","32.00000","29.30000","34.90000",""
"NUTSTUNTINGPREV","PUBLISHED","2020","AMR","","","","6.2 [3.7-10.0]","6.20000","3.70000","10.00000",""
"NUTSTUNTINGPREV","PUBLISHED","2020","EMR","","","","23.7 [15.2-35.1]","23.70000","15.20000","35.10000",""
"NUTSTUNTINGPREV","PUBLISHED","2025","EMR","","","","21.5 [13.3-32.9]","21.50000","13.30000","32.90000",""
"NUTSTUNTINGPREV","PUBLISHED","2025","WPR","","","","4.1 [2.0-8.4]","4.10000","2.00000","8.40000",""
"NUTSTUNTINGPREV","PUBLISHED","2025","SEAR","","","","26.0 [21.7-30.7]","26.00000","21.70000","30.70000",""
"NUTSTUNTINGPREV","PUBLISHED","2025","AMR","","","","5.3 [3.3-8.3]","5.30000","3.30000","8.30000",""
"NUTSTUNTINGPREV","PUBLISHED","2025","AFR","","","","29.6 [26.8-32.6]","29.60000","26.80000","32.60000",""
"NUTSTUNTINGPREV","PUBLISHED","2030","AFR","","","","27.4 [24.4-30.6]","27.40000","24.40000","30.60000",""
"NUTSTUNTINGPREV","PUBLISHED","2030","AMR","","","","4.5 [2.9-7.0]","4.50000","2.90000","7.00000",""
"NUTSTUNTINGPREV","PUBLISHED","2030","WPR","","","","2.9 [1.2-6.7]","2.90000","1.20000","6.70000",""
"NUTSTUNTINGPREV","PUBLISHED","2030","EMR","","","","19.4 [11.6-30.8]","19.40000","11.60000","30.80000",""
"NUTSTUNTINGPREV","PUBLISHED","2030","SEAR","","","","22.2 [18.0-27.0]","22.20000","18.00000","27.00000",""
"NUTSTUNTINGPREV","PUBLISHED","1990","","29","","","20.8 [11.0-36.0]","20.80000","11.00000","36.00000",""
"NUTSTUNTINGPREV","PUBLISHED","1990","","11","","","40.8 [37.4-44.3]","40.80000","37.40000","44.30000",""
"NUTSTUNTINGPREV","PUBLISHED","1990","","35","","","46.8 [38.3-55.5]","46.80000","38.30000","55.50000",""
"NUTSTUNTINGPREV","PUBLISHED","1990","","13","","","31.9 [23.6-41.5]","31.90000","23.60000","41.50000",""
"NUTSTUNTINGPREV","PUBLISHED","1990","","5","","","18.9 [14.6-24.0]","18.90000","14.60000","24.00000",""
