"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","RESIDENCEAREATYPE","WEALTHQUINTILE","Display Value","Numeric","Low","High","Comments"
"EQ_WATERPIPED","PUBLISHED","1990","AMR","COL","","RUR","","67.3","0.67312","","",""
"EQ_WATERPIPED","PUBLISHED","1995","AMR","COL","","RUR","","57.2","0.57151","","",""
"EQ_WATERPIPED","PUBLISHED","2000","AMR","COL","","RUR","","50.4","0.50382","","",""
"EQ_WATERPIPED","PUBLISHED","1998","AMR","GTM","","RUR","","61.4","0.61431","","",""
"EQ_WATERPIPED","PUBLISHED","2000","AMR","HTI","","RUR","","35.9","0.35944","","",""
"EQ_WATERPIPED","PUBLISHED","2005","AMR","HTI","","RUR","","26.2","0.26218","","",""
"EQ_WATERPIPED","PUBLISHED","2005","AMR","HND","","RUR","","62.4","0.62364","","",""
"EQ_WATERPIPED","PUBLISHED","2005","EUR","MDA","","RUR","","12.4","0.12379","","",""
"EQ_WATERPIPED","PUBLISHED","1992","EMR","MAR","","RUR","","17.5","0.17485","","",""
"EQ_WATERPIPED","PUBLISHED","2003","EMR","MAR","","RUR","","30.8","0.30800","","",""
"EQ_WATERPIPED","PUBLISHED","1992","AFR","RWA","","RUR","","19.7","0.19675","","",""
"EQ_WATERPIPED","PUBLISHED","1997","AFR","SEN","","RUR","","24.6","0.24552","","",""
"EQ_WATERPIPED","PUBLISHED","2005","AFR","SEN","","RUR","","41.3","0.41305","","",""
"EQ_WATERPIPED","PUBLISHED","2008","AFR","SLE","","RUR","","8.2","0.08173","","",""
"EQ_WATERPIPED","PUBLISHED","2011","SEAR","NPL","","","","46.9","0.46884","","",""
"EQ_WATERPIPED","PUBLISHED","1998","AMR","NIC","","","","67.6","0.67559","","",""
"EQ_WATERPIPED","PUBLISHED","2001","AMR","NIC","","","","69.2","0.69197","","",""
"EQ_WATERPIPED","PUBLISHED","1993","EUR","TUR","","","","71.2","0.71228","","",""
"EQ_WATERPIPED","PUBLISHED","1998","EUR","TUR","","","","56.3","0.56316","","",""
