"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","PRICEMEASURETYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AMR","TTO","SA_VOLUME_DISCOUNTS_BAN","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","WPR","TUV","SA_VOLUME_DISCOUNTS_BAN","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AMR","USA","SA_ANY_PRICE_MEASURES_EXCLUDING_TAXATION","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AMR","URY","SA_BELOW_COST_SELLING_BAN","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AMR","URY","SA_VOLUME_DISCOUNTS_BAN","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","EUR","UZB","SA_ANY_PRICE_MEASURES_EXCLUDING_TAXATION","Yes","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","EUR","UZB","SA_BELOW_COST_SELLING_BAN","Yes","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","WPR","VNM","SA_ANY_PRICE_MEASURES_EXCLUDING_TAXATION","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","WPR","VNM","SA_MINIMUM_PRICE_POLICY","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","WPR","VNM","SA_VOLUME_DISCOUNTS_BAN","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AFR","ZMB","SA_BELOW_COST_SELLING_BAN","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","EMR","IRQ","SA_MINIMUM_PRICE_POLICY","","","","","missing data"
"SA_0000001730_ARCHIVED","PUBLISHED","2012","EMR","KWT","SA_MINIMUM_PRICE_POLICY","","","","","missing data"
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AFR","MRT","SA_ANY_PRICE_MEASURES_EXCLUDING_TAXATION","","","","","missing data"
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AFR","MRT","SA_MINIMUM_PRICE_POLICY","","","","","missing data"
"SA_0000001730_ARCHIVED","PUBLISHED","2012","EMR","QAT","SA_MINIMUM_PRICE_POLICY","","","","","missing data"
"SA_0000001730_ARCHIVED","PUBLISHED","2012","WPR","WSM","SA_VOLUME_DISCOUNTS_BAN","","","","","missing data"
"SA_0000001730_ARCHIVED","PUBLISHED","2012","EMR","SDN","SA_LOWER_PRICE_NON_ALCOHOLIC_BEVERAGES","","","","","missing data"
"SA_0000001730_ARCHIVED","PUBLISHED","2012","SEAR","PRK","SA_MINIMUM_PRICE_POLICY","","","","","missing data"
"SA_0000001730_ARCHIVED","PUBLISHED","2012","EMR","DJI","SA_ANY_PRICE_MEASURES_EXCLUDING_TAXATION","","","","","missing data"
"SA_0000001730_ARCHIVED","PUBLISHED","2012","EUR","MDA","SA_ANY_PRICE_MEASURES_EXCLUDING_TAXATION","Yes","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","EUR","MDA","SA_BELOW_COST_SELLING_BAN","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","EUR","MDA","SA_LOWER_PRICE_NON_ALCOHOLIC_BEVERAGES","Yes","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","EUR","MDA","SA_MINIMUM_PRICE_POLICY","Yes","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","EUR","MDA","SA_VOLUME_DISCOUNTS_BAN","Yes","","","",""
