"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","WEALTHDECILE","Display Value","Numeric","Low","High","Comments"
"bmi30wm","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","AGODHS201505","","No data","","","","Not available."
"bmi30wm","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","AGODHS201506","","No data","","","","Not available."
"bmi30wm","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","AGODHS201507","","No data","","","","Not available."
"bmi30wm","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","AGODHS201508","","No data","","","","Not available."
"bmi30wm","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","AGODHS201509","","No data","","","","Not available."
"bmi30wm","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","AGODHS201510","","No data","","","","Not available."
"bmi30wm","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","AGODHS201511","","No data","","","","Not available."
"bmi30wm","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","AGODHS201512","","No data","","","","Not available."
"bmi30wm","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","AGODHS201513","","No data","","","","Not available."
"bmi30wm","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","AGODHS201514","","No data","","","","Not available."
"bmi30wm","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","AGODHS201515","","No data","","","","Not available."
"bmi30wm","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","AGODHS201516","","No data","","","","Not available."
"bmi30wm","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","AGODHS201517","","No data","","","","Not available."
"bmi30wm","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","AGODHS201518","","No data","","","","Not available."
"bmi30wm","EQ_MICS","PUBLISHED","2011","AMR","ARG","","","","ARGMICS201101","","No data","","","","Not available."
"bmi30wm","EQ_MICS","PUBLISHED","2011","AMR","ARG","","","","ARGMICS201102","","No data","","","","Not available."
"bmi30wm","EQ_MICS","PUBLISHED","2011","AMR","ARG","","","","ARGMICS201103","","No data","","","","Not available."
"bmi30wm","EQ_MICS","PUBLISHED","2011","AMR","ARG","","","","ARGMICS201104","","No data","","","","Not available."
"bmi30wm","EQ_MICS","PUBLISHED","2011","AMR","ARG","","","","ARGMICS201105","","No data","","","","Not available."
"bmi30wm","EQ_MICS","PUBLISHED","2011","AMR","ARG","","","","ARGMICS201106","","No data","","","","Not available."
"bmi30wm","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","","ARMDHS200001","","13.4 [11.8-15.2]","13.00000","12.00000","15.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","","ARMDHS200002","","20.4 [17.6-23.4]","20.00000","18.00000","23.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","","ARMDHS200003","","19.5 [16.3-23.2]","19.00000","16.00000","23.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","","ARMDHS200004","","12.2 [9.0-16.3]","12.00000","9.00000","16.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","","ARMDHS200005","","13.8 [11.7-16.2]","14.00000","12.00000","16.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","","ARMDHS200006","","17.0 [13.7-20.9]","17.00000","14.00000","21.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","","ARMDHS200007","","6.7 [4.6-9.8]","7.00000","5.00000","10.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","","ARMDHS200008","","17.0 [13.3-21.3]","17.00000","13.00000","21.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","","ARMDHS200009","","15.2 [11.8-19.4]","15.00000","12.00000","19.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","","ARMDHS200010","","16.9 [13.3-21.2]","17.00000","13.00000","21.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","","ARMDHS200011","","12.7 [10.4-15.3]","13.00000","10.00000","15.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","","ARMDHS200501","","18.9 [15.2-23.4]","19.00000","15.00000","23.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","","ARMDHS200502","","17.8 [16.0-19.7]","18.00000","16.00000","20.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","","ARMDHS200503","","19.9 [17.0-23.3]","20.00000","17.00000","23.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","","ARMDHS200504","","8.0 [6.2-10.3]","8.00000","6.00000","10.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","","ARMDHS200505","","22.4 [17.7-28.0]","22.00000","18.00000","28.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","","ARMDHS200506","","22.6 [17.9-28.0]","23.00000","18.00000","28.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","","ARMDHS200507","","4.8 [3.1-7.6]","5.00000","3.00000","8.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","","ARMDHS200508","","20.9 [18.3-23.7]","21.00000","18.00000","24.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","","ARMDHS200509","","9.5 [5.9-14.9]","9.00000","6.00000","15.00000",""
