"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","ALCOHOLTYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001547","","PUBLISHED","2011","EUR","BEL","SA_SPIRITS","1752.2","1752.20000","","",""
"SA_0000001547","","PUBLISHED","2013","EUR","CZE","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2013","EUR","CZE","SA_SPIRITS","1136.36","1136.36000","","",""
"SA_0000001547","","PUBLISHED","2013","EUR","DEU","SA_SPIRITS","1303","1303.00000","","",""
"SA_0000001547","","PUBLISHED","2013","EUR","ITA","SA_SPIRITS","800.01","800.01000","","",""
"SA_0000001547","","PUBLISHED","2013","EUR","LVA","SA_SPIRITS","1350.19","1350.19000","","",""
"SA_0000001547","","PUBLISHED","2013","EUR","LUX","SA_SPIRITS","1041.15","1041.15000","","",""
"SA_0000001547","","PUBLISHED","2008","EUR","MLT","SA_SPIRITS","1400","1400.00000","","",""
"SA_0000001547","","PUBLISHED","2011","EUR","ROU","SA_BEER","8.9","8.90000","","",""
"SA_0000001547","","PUBLISHED","2013","EUR","ROU","SA_BEER","8.98","8.98000","","",""
"SA_0000001547","","PUBLISHED","2010","EUR","SWE","SA_SPIRITS","5474.39","5474.39000","","",""
"SA_0000001547","","PUBLISHED","2013","EUR","BGR","SA_SPIRITS","562.43","562.43000","","",""
"SA_0000001547","","PUBLISHED","2014","EUR","CYP","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2014","EUR","CYP","SA_SPIRITS","956.82","956.82000","","",""
"SA_0000001547","","PUBLISHED","2014","EUR","FIN","SA_SPIRITS","4555","4555.00000","","",""
"SA_0000001547","","PUBLISHED","2014","EUR","FRA","SA_BEER","7.38","7.38000","","",""
"SA_0000001547","","PUBLISHED","2009","EUR","ISL","SA_SPIRITS","5844","5844.00000","","",""
"SA_0000001547","","PUBLISHED","2014","EUR","KAZ","SA_SPIRITS","5","5.00000","","",""
