"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"WHS7_104","NHA_COL","PUBLISHED","1999","AMR","WB_UMI","COL","139.99","139.99294","","",""
"WHS7_104","NHA_COL","PUBLISHED","2001","AMR","WB_UMI","COL","112.39","112.38762","","",""
"WHS7_104","NHA_COL","PUBLISHED","2002","AMR","WB_UMI","COL","107.21","107.21172","","",""
"WHS7_104","","PUBLISHED","1996","AFR","WB_LI","COM","12.69","12.68926","","",""
"WHS7_104","","PUBLISHED","2013","AFR","WB_LI","COM","16.49","16.48676","","",""
"WHS7_104","","PUBLISHED","2014","AFR","WB_LI","COM","18.65","18.65220","","",""
"WHS7_104","","PUBLISHED","2010","AFR","WB_LMI","CPV","116.47","116.47208","","",""
"WHS7_104","","PUBLISHED","2011","AFR","WB_LMI","CPV","125.63","125.62845","","",""
"WHS7_104","NHA_CRI","PUBLISHED","2005","AMR","WB_UMI","CRI","257.06","257.06133","","",""
"WHS7_104","NHA_CRI","PUBLISHED","2007","AMR","WB_UMI","CRI","352.70","352.70462","","",""
"WHS7_104","NHA_CRI","PUBLISHED","2008","AMR","WB_UMI","CRI","421.77","421.77238","","",""
"WHS7_104","","PUBLISHED","2002","AMR","WB_UMI","CUB","171.69","171.69030","","",""
"WHS7_104","","PUBLISHED","2004","AMR","WB_UMI","CUB","185.83","185.83260","","",""
"WHS7_104","","PUBLISHED","2005","AMR","WB_UMI","CUB","331.65","331.64944","","",""
"WHS7_104","NHA_CYP","PUBLISHED","1999","EUR","WB_HI","CYP","336.16","336.15564","","",""
"WHS7_104","NHA_CYP","PUBLISHED","2002","EUR","WB_HI","CYP","402.44","402.43504","","",""
"WHS7_104","","PUBLISHED","1996","EUR","WB_HI","CZE","365.50","365.50001","","",""
"WHS7_104","","PUBLISHED","1999","EUR","WB_HI","CZE","347.09","347.08766","","",""
"WHS7_104","","PUBLISHED","2013","EUR","WB_HI","CZE","1191.36","1191.35646","","",""
"WHS7_104","","PUBLISHED","2014","EUR","WB_HI","CZE","1165.36","1165.36309","","",""
"WHS7_104","NHA_DEU","PUBLISHED","2009","EUR","WB_HI","DEU","3630.23","3630.22558","","",""
"WHS7_104","NHA_DEU","PUBLISHED","2010","EUR","WB_HI","DEU","3582.32","3582.31843","","",""
"WHS7_104","NHA_DEU","PUBLISHED","2011","EUR","WB_HI","DEU","3818.61","3818.61378","","",""
"WHS7_104","","PUBLISHED","2007","EMR","WB_LMI","DJI","56.62","56.62207","","",""
"WHS7_104","","PUBLISHED","2008","EMR","WB_LMI","DJI","69.73","69.72592","","",""
"WHS7_104","","PUBLISHED","2002","AMR","WB_UMI","DMA","159.17","159.17129","","",""
"WHS7_104","","PUBLISHED","2005","AMR","WB_UMI","DMA","158.54","158.54489","","",""
"WHS7_104","","PUBLISHED","1999","EUR","WB_HI","DNK","2461.02","2461.01662","","",""
"WHS7_104","","PUBLISHED","2002","EUR","WB_HI","DNK","2554.13","2554.13062","","",""
"WHS7_104","NHA_DOM","PUBLISHED","1996","AMR","WB_UMI","DOM","26.18","26.18047","","",""
"WHS7_104","NHA_DOM","PUBLISHED","1997","AMR","WB_UMI","DOM","35.07","35.07252","","",""
"WHS7_104","NHA_DOM","PUBLISHED","1999","AMR","WB_UMI","DOM","50.92","50.91875","","",""
"WHS7_104","NHA_DOM","PUBLISHED","2013","AMR","WB_UMI","DOM","156.16","156.15725","","",""
"WHS7_104","NHA_DOM","PUBLISHED","2014","AMR","WB_UMI","DOM","179.96","179.95600","","",""
"WHS7_104","","PUBLISHED","1996","AFR","WB_UMI","DZA","39.94","39.93505","","",""
"WHS7_104","","PUBLISHED","2010","AFR","WB_UMI","DZA","160.74","160.74221","","",""
"WHS7_104","","PUBLISHED","2011","AFR","WB_UMI","DZA","204.71","204.71025","","",""
"WHS7_104","NHA_ECU","PUBLISHED","2008","AMR","WB_UMI","ECU","69.70","69.69670","","",""
"WHS7_104","","PUBLISHED","2005","EMR","WB_LMI","EGY","25.02","25.01927","","",""
"WHS7_104","NHA_ERI","PUBLISHED","1999","AFR","WB_LI","ERI","4.01","4.01053","","",""
"WHS7_104","NHA_ERI","PUBLISHED","2000","AFR","WB_LI","ERI","3.17","3.17405","","",""
"WHS7_104","NHA_ERI","PUBLISHED","2002","AFR","WB_LI","ERI","3.16","3.15803","","",""
"WHS7_104","","PUBLISHED","1996","EUR","WB_HI","ESP","852.52","852.52008","","",""
"WHS7_104","","PUBLISHED","1997","EUR","WB_HI","ESP","770.00","769.99539","","",""
"WHS7_104","","PUBLISHED","1999","EUR","WB_HI","ESP","818.04","818.03743","","",""
"WHS7_104","","PUBLISHED","2014","EUR","WB_HI","ESP","1884.07","1884.06678","","",""
"WHS7_104","","PUBLISHED","1996","EUR","WB_HI","EST","192.76","192.75861","","",""
"WHS7_104","","PUBLISHED","2009","EUR","WB_HI","EST","758.93","758.92697","","",""
"WHS7_104","","PUBLISHED","2011","EUR","WB_HI","EST","783.74","783.74471","","",""
"WHS7_104","","PUBLISHED","2008","AFR","WB_LI","ETH","6.97","6.96877","","",""
"WHS7_104","","PUBLISHED","2003","EUR","WB_HI","FIN","1871.63","1871.62623","","",""
"WHS7_104","","PUBLISHED","2005","EUR","WB_HI","FIN","2326.40","2326.40248","","",""
"WHS7_104","NHA_FJI","PUBLISHED","2000","WPR","WB_UMI","FJI","67.17","67.17010","","",""
"WHS7_104","NHA_FJI","PUBLISHED","2002","WPR","WB_UMI","FJI","64.49","64.49062","","",""
"WHS7_104","NHA_FJI","PUBLISHED","2003","WPR","WB_UMI","FJI","76.59","76.58707","","",""
"WHS7_104","NHA_FRA","PUBLISHED","1997","EUR","WB_HI","FRA","1942.98","1942.97562","","",""
"WHS7_104","NHA_FRA","PUBLISHED","1999","EUR","WB_HI","FRA","1952.97","1952.97294","","",""
"WHS7_104","NHA_FRA","PUBLISHED","2014","EUR","WB_HI","FRA","3878.19","3878.19169","","",""
"WHS7_104","NHA_FSM","PUBLISHED","2011","WPR","WB_LMI","FSM","374.42","374.41614","","",""
"WHS7_104","","PUBLISHED","2006","AFR","WB_UMI","GAB","89.01","89.01227","","",""
"WHS7_104","","PUBLISHED","2008","AFR","WB_UMI","GAB","113.26","113.25580","","",""
"WHS7_104","","PUBLISHED","2003","EUR","WB_HI","GBR","1957.00","1957.00060","","",""
"WHS7_104","","PUBLISHED","2005","EUR","WB_HI","GBR","2568.28","2568.27814","","",""
"WHS7_104","","PUBLISHED","2006","EUR","WB_HI","GBR","2796.19","2796.18996","","",""
"WHS7_104","NHA_GEO","PUBLISHED","2000","EUR","WB_LMI","GEO","7.65","7.65401","","",""
"WHS7_104","NHA_GEO","PUBLISHED","2002","EUR","WB_LMI","GEO","10.33","10.32625","","",""
