"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","ALCOHOLTYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001518_ARCHIVED","PUBLISHED","2012","WPR","WB_HI","BRN","SA_WINE","","","","","missing data"
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_LI","ERI","SA_SPIRITS","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_LI","KEN","SA_WINE","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_LI","LBR","SA_WINE","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_LI","MWI","SA_SPIRITS","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_LI","NER","SA_WINE","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_LI","RWA","SA_SPIRITS","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_LI","UGA","SA_BEER","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_LI","UZB","SA_SPIRITS","20","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EMR","WB_LI","AFG","SA_BEER","","","","","missing data"
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AMR","WB_LI","HTI","SA_WINE","","","","","missing data"
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_LI","BFA","SA_WINE","No","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_LI","GHA","SA_SPIRITS","No","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_LI","MLI","SA_WINE","No","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AMR","WB_LMI","GTM","SA_SPIRITS","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EMR","WB_LMI","JOR","SA_BEER","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AMR","WB_LMI","NIC","SA_WINE","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_LMI","NGA","SA_SPIRITS","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_LMI","SWZ","SA_WINE","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EMR","WB_LMI","TUN","SA_SPIRITS","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EMR","WB_LMI","IRQ","SA_WINE","21","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","WPR","WB_LMI","FSM","SA_SPIRITS","21","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","SEAR","WB_LMI","LKA","SA_BEER","21","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EMR","WB_LMI","IRN","SA_WINE","","","","","missing data"
"SA_0000001518_ARCHIVED","PUBLISHED","2012","WPR","WB_LMI","MHL","SA_SPIRITS","","","","","missing data"
"SA_0000001518_ARCHIVED","PUBLISHED","2012","WPR","WB_LMI","SLB","SA_BEER","","","","","missing data"
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_LMI","CMR","SA_WINE","No","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EMR","WB_LMI","SYR","SA_SPIRITS","No","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AMR","WB_UMI","GRD","SA_BEER","16","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_UMI","DZA","SA_BEER","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_UMI","BGR","SA_BEER","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AMR","WB_UMI","COL","SA_WINE","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AMR","WB_UMI","CUB","SA_SPIRITS","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AMR","WB_UMI","JAM","SA_WINE","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_UMI","LVA","SA_SPIRITS","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_UMI","MUS","SA_BEER","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_UMI","NAM","SA_SPIRITS","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_UMI","POL","SA_BEER","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_UMI","RUS","SA_WINE","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EMR","WB_UMI","LBN","SA_SPIRITS","","","","","missing data"
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","BEL","SA_WINE","16","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","ESP","SA_WINE","16","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","ESP","SA_SPIRITS","16","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","MLT","SA_BEER","17","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AMR","WB_HI","BHS","SA_SPIRITS","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AMR","WB_HI","BRB","SA_BEER","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","DNK","SA_WINE","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","HUN","SA_SPIRITS","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","IRL","SA_BEER","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","WPR","WB_HI","SGP","SA_SPIRITS","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","SVK","SA_BEER","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","GBR","SA_WINE","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AMR","WB_HI","USA","SA_BEER","21","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","WPR","WB_HI","BRN","SA_SPIRITS","","","","","missing data"
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AMR","WB_HI","CAN","SA_BEER","","","","","missing data"
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EMR","WB_HI","ARE","SA_SPIRITS","","","","","missing data"
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_LI","GMB","SA_WINE","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_LI","GMB","SA_SPIRITS","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_LI","MWI","SA_BEER","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_LI","MWI","SA_WINE","18","","","",""
