"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","SEX","Display Value","Numeric","Low","High","Comments"
"NCD_PAC","PUBLISHED","2016","AFR","GAB","YEARS18-PLUS","BTSX","24.3 [17.7-32.3]","24.32047","17.71548","32.30571",""
"NCD_PAC","PUBLISHED","2016","AFR","GMB","YEARS18-PLUS","BTSX","19.2 [14.6-24.9]","19.24013","14.56325","24.94326",""
"NCD_PAC","PUBLISHED","2016","EUR","GEO","YEARS18-PLUS","BTSX","19.0 [13.6-25.9]","18.97534","13.56261","25.87481",""
"NCD_PAC","PUBLISHED","2016","EUR","DEU","YEARS18-PLUS","BTSX","45.8 [39.0-52.8]","45.82464","38.97440","52.82495",""
"NCD_PAC","PUBLISHED","2016","AFR","GHA","YEARS18-PLUS","BTSX","20.3 [16.0-24.6]","20.27021","15.98509","24.55532",""
"NCD_PAC","PUBLISHED","2016","EUR","GRC","YEARS18-PLUS","BTSX","40.6 [33.6-47.9]","40.56621","33.59756","47.90913",""
"NCD_PAC","PUBLISHED","2016","AMR","GRD","YEARS18-PLUS","BTSX","28.1 [21.0-36.5]","28.10223","20.96295","36.46799",""
"NCD_PAC","PUBLISHED","2016","AMR","GTM","YEARS18-PLUS","BTSX","35.5 [26.5-45.6]","35.49148","26.49822","45.63582",""
"NCD_PAC","PUBLISHED","2016","AFR","GIN","YEARS18-PLUS","BTSX","13.5 [10.1-17.9]","13.52389","10.05463","17.92227",""
"NCD_PAC","PUBLISHED","2016","EUR","HUN","YEARS18-PLUS","BTSX","40.6 [32.8-48.9]","40.59598","32.78895","48.86498",""
"NCD_PAC","PUBLISHED","2016","SEAR","IND","YEARS18-PLUS","BTSX","33.3 [21.8-46.9]","33.33883","21.80337","46.93110",""
