"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","GHECAUSES","Display Value","Numeric","Low","High","Comments"
"GBD_DALYRTAGE","PUBLISHED","2012","EUR","BIH","GHE001","1,820","1820.34998","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","EUR","BIH","GHE060","19,278","19278.03906","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","EUR","BIH","GHE151","2,902","2901.56494","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","EUR","BLR","GHE000","40,636","40635.69922","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","EUR","BLR","GHE001","3,114","3113.66504","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","EUR","BLR","GHE060","30,369","30368.89063","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","EUR","BLR","GHE151","7,153","7153.14990","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","EUR","BLR","GHE000","33,783","33782.85938","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","EUR","BLR","GHE001","2,598","2598.03198","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","EUR","BLR","GHE060","26,283","26282.85938","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","EUR","BLR","GHE151","4,902","4901.97412","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AMR","BLZ","GHE000","35,540","35540.03906","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AMR","BLZ","GHE001","7,654","7653.60107","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AMR","BLZ","GHE060","22,066","22065.58984","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AMR","BLZ","GHE151","5,821","5820.84814","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AMR","BLZ","GHE000","31,420","31419.88086","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AMR","BLZ","GHE001","6,164","6163.52686","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AMR","BLZ","GHE060","19,960","19959.63086","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AMR","BLZ","GHE151","5,297","5296.72607","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AMR","BOL","GHE000","56,175","56175.10938","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AMR","BOL","GHE001","20,214","20213.91992","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AMR","BOL","GHE060","28,913","28913.36914","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AMR","BOL","GHE151","7,048","7047.81592","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AMR","BOL","GHE000","44,087","44086.69141","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AMR","BOL","GHE001","12,622","12622.40039","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AMR","BOL","GHE060","25,553","25553.43945","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AMR","BOL","GHE151","5,911","5910.85498","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AMR","BRA","GHE000","38,100","38100.25000","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AMR","BRA","GHE001","7,866","7866.05322","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AMR","BRA","GHE060","25,523","25523.50000","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AMR","BRA","GHE151","4,711","4710.70313","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AMR","BRA","GHE000","31,632","31631.72070","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AMR","BRA","GHE001","4,804","4803.89307","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AMR","BRA","GHE060","22,160","22160.25000","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AMR","BRA","GHE151","4,668","4667.57520","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AMR","BRB","GHE000","30,067","30067.23047","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AMR","BRB","GHE001","5,578","5578.27783","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AMR","BRB","GHE060","21,766","21765.89063","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AMR","BRB","GHE151","2,723","2723.06201","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AMR","BRB","GHE000","26,768","26767.90039","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AMR","BRB","GHE001","4,249","4248.66309","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AMR","BRB","GHE060","19,498","19497.81055","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AMR","BRB","GHE151","3,021","3021.42700","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","WPR","BRN","GHE000","24,686","24686.00000","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","WPR","BRN","GHE001","2,456","2456.41797","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","WPR","BRN","GHE060","19,545","19545.10938","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","WPR","BRN","GHE151","2,684","2684.47095","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","WPR","BRN","GHE000","22,941","22940.58008","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","WPR","BRN","GHE001","2,205","2205.44312","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","WPR","BRN","GHE060","18,443","18443.09961","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","WPR","BRN","GHE151","2,292","2292.04199","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","SEAR","BTN","GHE000","65,068","65067.89063","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","SEAR","BTN","GHE001","24,013","24013.33984","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","SEAR","BTN","GHE060","28,324","28324.25977","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","SEAR","BTN","GHE151","12,730","12730.29004","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","SEAR","BTN","GHE000","44,059","44059.05078","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","SEAR","BTN","GHE001","11,694","11693.92969","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","SEAR","BTN","GHE060","24,684","24683.55078","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","SEAR","BTN","GHE151","7,682","7681.57617","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AFR","BWA","GHE000","114,728","114727.89844","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AFR","BWA","GHE001","86,832","86831.61719","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AFR","BWA","GHE060","22,838","22837.72070","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AFR","BWA","GHE151","5,059","5058.54980","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AFR","BWA","GHE000","61,513","61512.76953","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AFR","BWA","GHE001","32,066","32066.27930","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AFR","BWA","GHE060","24,566","24566.01953","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AFR","BWA","GHE151","4,880","4880.47412","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AFR","CAF","GHE000","122,132","122131.89844","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AFR","CAF","GHE001","90,789","90788.88281","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AFR","CAF","GHE060","24,905","24904.67969","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AFR","CAF","GHE151","6,438","6438.35107","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AFR","CAF","GHE000","97,115","97115.46875","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AFR","CAF","GHE001","65,903","65903.42969","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AFR","CAF","GHE060","24,491","24490.91016","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AFR","CAF","GHE151","6,721","6721.14307","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AMR","CAN","GHE000","21,044","21044.24023","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AMR","CAN","GHE001","1,246","1245.86096","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AMR","CAN","GHE060","17,691","17690.64063","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AMR","CAN","GHE151","2,108","2107.74194","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AMR","CAN","GHE000","18,838","18837.56055","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AMR","CAN","GHE001","1,311","1310.78296","","",""
