"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","BACGROUP","Display Value","Numeric","Low","High","Comments"
"SA_0000001520","PUBLISHED","2016","EMR","BHR","SA_YOUNG_NOVICE_DRIVERS",".","","","",""
"SA_0000001520","PUBLISHED","2016","EMR","EGY","SA_PROFESS_COMMERCE_DRIVERS","none","","","",""
"SA_0000001520","PUBLISHED","2016","EMR","KWT","SA_YOUNG_NOVICE_DRIVERS",".","","","",""
"SA_0000001520","PUBLISHED","2016","EMR","LBY","SA_PROFESS_COMMERCE_DRIVERS",".","","","",""
"SA_0000001520","PUBLISHED","2016","EMR","PAK","SA_GENERAL_POPULATION","zero tolerance","","","",""
"SA_0000001520","PUBLISHED","2016","EMR","SOM","SA_PROFESS_COMMERCE_DRIVERS","total ban","","","",""
"SA_0000001520","PUBLISHED","2016","EMR","TUN","SA_GENERAL_POPULATION","0.05%","","","",""
"SA_0000001520","PUBLISHED","2016","EMR","YEM","SA_YOUNG_NOVICE_DRIVERS","total ban","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","AUT","SA_GENERAL_POPULATION","0.05%","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","BLR","SA_YOUNG_NOVICE_DRIVERS","0.03%","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","BIH","SA_PROFESS_COMMERCE_DRIVERS","0.03%","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","CZE","SA_YOUNG_NOVICE_DRIVERS","zero tolerance","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","EST","SA_PROFESS_COMMERCE_DRIVERS","0.02%","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","GEO","SA_GENERAL_POPULATION","0.03%","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","HUN","SA_PROFESS_COMMERCE_DRIVERS","zero tolerance","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","ISR","SA_GENERAL_POPULATION","0.05%","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","KAZ","SA_YOUNG_NOVICE_DRIVERS","zero tolerance","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","LUX","SA_GENERAL_POPULATION","0.05%","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","MCO","SA_YOUNG_NOVICE_DRIVERS","0.02%","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","NLD","SA_PROFESS_COMMERCE_DRIVERS","0.05%","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","MDA","SA_YOUNG_NOVICE_DRIVERS","0.03%","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","RUS","SA_PROFESS_COMMERCE_DRIVERS","0.04%","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","SVK","SA_GENERAL_POPULATION","zero tolerance","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","SWE","SA_PROFESS_COMMERCE_DRIVERS","0.02%","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","MKD","SA_GENERAL_POPULATION","0.05%","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","TKM","SA_YOUNG_NOVICE_DRIVERS","0.03%","","","",""
"SA_0000001520","PUBLISHED","2016","SEAR","BGD","SA_GENERAL_POPULATION","zero tolerance","","","",""
"SA_0000001520","PUBLISHED","2016","SEAR","PRK","SA_YOUNG_NOVICE_DRIVERS",".","","","",""
