"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","SEX","INADEQUACY","Display Value","Numeric","Low","High","Comments"
"WSH_10_HYG","PUBLISHED","2016","EMR","LBY","YEARSALL","FMLE","INADEQUATE_HYGIENE","6","5.79680","","",""
"WSH_10_HYG","PUBLISHED","2016","AMR","LCA","YEARSALL","BTSX","INADEQUATE_HYGIENE","0","0.28659","","",""
"WSH_10_HYG","PUBLISHED","2016","EMR","SAU","YEARSALL","MLE","INADEQUATE_HYGIENE","13","13.22541","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","SRB","YEARSALL","FMLE","INADEQUATE_HYGIENE","11","10.52968","","",""
"WSH_10_HYG","PUBLISHED","2016","SEAR","BTN","YEARSALL","BTSX","INADEQUATE_HYGIENE","10","10.22422","","",""
"WSH_10_HYG","PUBLISHED","2016","AMR","CHL","YEARSALL","BTSX","INADEQUATE_HYGIENE","36","36.24929","","",""
"WSH_10_HYG","PUBLISHED","2016","AMR","GUY","YEARSALL","BTSX","INADEQUATE_HYGIENE","6","5.85048","","",""
"WSH_10_HYG","PUBLISHED","2016","SEAR","IND","YEARSALL","FMLE","INADEQUATE_HYGIENE","24416","24415.68907","","",""
"WSH_10_HYG","PUBLISHED","2016","AFR","MRT","YEARSALL","FMLE","INADEQUATE_HYGIENE","153","153.44458","","",""
"WSH_10_HYG","PUBLISHED","2016","AFR","NGA","YEARSALL","MLE","INADEQUATE_HYGIENE","12562","12562.01751","","",""
"WSH_10_HYG","PUBLISHED","2016","AFR","TGO","YEARSALL","MLE","INADEQUATE_HYGIENE","284","284.20305","","",""
"WSH_10_HYG","PUBLISHED","2016","WPR","TON","YEARSALL","BTSX","INADEQUATE_HYGIENE","1","0.60478","","",""
"WSH_10_HYG","PUBLISHED","2016","EMR","BHR","YEARSALL","FMLE","INADEQUATE_HYGIENE","0","0.25332","","",""
"WSH_10_HYG","PUBLISHED","2016","AMR","BRA","YEARSALL","FMLE","INADEQUATE_HYGIENE","292","292.35491","","",""
"WSH_10_HYG","PUBLISHED","2016","AFR","CAF","YEARSALL","FMLE","INADEQUATE_HYGIENE","315","314.69832","","",""
"WSH_10_HYG","PUBLISHED","2016","AFR","GHA","YEARSALL","BTSX","INADEQUATE_HYGIENE","912","911.83818","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","GRC","YEARSALL","BTSX","INADEQUATE_HYGIENE","4","4.14911","","",""
"WSH_10_HYG","PUBLISHED","2016","SEAR","MMR","YEARSALL","BTSX","INADEQUATE_HYGIENE","1267","1267.18061","","",""
"WSH_10_HYG","PUBLISHED","2016","WPR","MNG","YEARSALL","MLE","INADEQUATE_HYGIENE","6","6.25881","","",""
"WSH_10_HYG","PUBLISHED","2016","AMR","SUR","YEARSALL","MLE","INADEQUATE_HYGIENE","1","1.24444","","",""
"WSH_10_HYG","PUBLISHED","2016","AFR","SYC","YEARSALL","MLE","INADEQUATE_HYGIENE","0","0.08885","","",""
"WSH_10_HYG","PUBLISHED","2016","WPR","AUS","YEARSALL","MLE","INADEQUATE_HYGIENE","9","8.53391","","",""
"WSH_10_HYG","PUBLISHED","2016","AFR","BFA","YEARSALL","MLE","INADEQUATE_HYGIENE","750","750.14463","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","FIN","YEARSALL","BTSX","INADEQUATE_HYGIENE","2","1.99001","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","GBR","YEARSALL","FMLE","INADEQUATE_HYGIENE","83","82.70921","","",""
"WSH_10_HYG","PUBLISHED","2016","AMR","LCA","YEARSALL","FMLE","INADEQUATE_HYGIENE","0","0.06112","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","LVA","YEARSALL","MLE","INADEQUATE_HYGIENE","0","0.13267","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","MKD","YEARSALL","MLE","INADEQUATE_HYGIENE","0","0.25256","","",""
"WSH_10_HYG","PUBLISHED","2016","AMR","PRY","YEARSALL","BTSX","INADEQUATE_HYGIENE","24","23.50806","","",""
"WSH_10_HYG","PUBLISHED","2016","EMR","SAU","YEARSALL","FMLE","INADEQUATE_HYGIENE","15","15.41250","","",""
"WSH_10_HYG","PUBLISHED","2016","AFR","ZWE","YEARSALL","MLE","INADEQUATE_HYGIENE","375","374.63349","","",""
"WSH_10_HYG","PUBLISHED","2016","WPR","CHN","YEARSALL","MLE","INADEQUATE_HYGIENE","593","592.76918","","",""
"WSH_10_HYG","PUBLISHED","2016","AMR","COL","YEARSALL","BTSX","INADEQUATE_HYGIENE","77","77.25689","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","ISR","YEARSALL","BTSX","INADEQUATE_HYGIENE","20","20.20701","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","KAZ","YEARSALL","BTSX","INADEQUATE_HYGIENE","28","28.20900","","",""
"WSH_10_HYG","PUBLISHED","2016","WPR","NZL","YEARSALL","FMLE","INADEQUATE_HYGIENE","4","4.41377","","",""
"WSH_10_HYG","PUBLISHED","2016","WPR","PNG","YEARSALL","MLE","INADEQUATE_HYGIENE","118","118.33632","","",""
"WSH_10_HYG","PUBLISHED","2016","WPR","TON","YEARSALL","FMLE","INADEQUATE_HYGIENE","0","0.43000","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","UKR","YEARSALL","MLE","INADEQUATE_HYGIENE","21","20.85508","","",""
"WSH_10_HYG","PUBLISHED","2016","AMR","VEN","YEARSALL","BTSX","INADEQUATE_HYGIENE","112","112.17955","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","ARM","YEARSALL","MLE","INADEQUATE_HYGIENE","1","0.69318","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","BEL","YEARSALL","MLE","INADEQUATE_HYGIENE","12","11.54001","","",""
"WSH_10_HYG","PUBLISHED","2016","EMR","DJI","YEARSALL","BTSX","INADEQUATE_HYGIENE","55","54.97158","","",""
"WSH_10_HYG","PUBLISHED","2016","AFR","ERI","YEARSALL","BTSX","INADEQUATE_HYGIENE","405","404.69673","","",""
"WSH_10_HYG","PUBLISHED","2016","WPR","KIR","YEARSALL","BTSX","INADEQUATE_HYGIENE","4","4.04393","","",""
"WSH_10_HYG","PUBLISHED","2016","AFR","LBR","YEARSALL","BTSX","INADEQUATE_HYGIENE","348","347.71072","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","RUS","YEARSALL","BTSX","INADEQUATE_HYGIENE","40","40.20462","","",""
"WSH_10_HYG","PUBLISHED","2016","WPR","SLB","YEARSALL","FMLE","INADEQUATE_HYGIENE","4","3.50160","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","CHE","YEARSALL","MLE","INADEQUATE_HYGIENE","4","4.42204","","",""
"WSH_10_HYG","PUBLISHED","2016","AFR","COG","YEARSALL","MLE","INADEQUATE_HYGIENE","203","202.73254","","",""
"WSH_10_HYG","PUBLISHED","2016","AMR","GTM","YEARSALL","FMLE","INADEQUATE_HYGIENE","98","98.08937","","",""
"WSH_10_HYG","PUBLISHED","2016","SEAR","IDN","YEARSALL","FMLE","INADEQUATE_HYGIENE","3323","3322.81442","","",""
"WSH_10_HYG","PUBLISHED","2016","AFR","MWI","YEARSALL","MLE","INADEQUATE_HYGIENE","497","496.53603","","",""
"WSH_10_HYG","PUBLISHED","2016","AFR","NGA","YEARSALL","BTSX","INADEQUATE_HYGIENE","23627","23627.15411","","",""
"WSH_10_HYG","PUBLISHED","2016","EUR","TKM","YEARSALL","FMLE","INADEQUATE_HYGIENE","29","29.30714","","",""
"WSH_10_HYG","PUBLISHED","2016","AFR","TZA","YEARSALL","FMLE","INADEQUATE_HYGIENE","2198","2198.25686","","",""
"WSH_10_HYG","PUBLISHED","2016","AFR","BDI","YEARSALL","FMLE","INADEQUATE_HYGIENE","698","698.22052","","",""
"WSH_10_HYG","PUBLISHED","2016","AFR","BEN","YEARSALL","BTSX","INADEQUATE_HYGIENE","1143","1143.26507","","",""
