"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","ENVCAUSE","Display Value","Numeric","Low","High","Comments"
"TOTENV_2","PUBLISHED","2012","WPR","PHL","ENVCAUSE060","160","159.87287","","",""
"TOTENV_2","PUBLISHED","2012","WPR","PLW","ENVCAUSE060","53","53.20994","","",""
"TOTENV_2","PUBLISHED","2012","EUR","SMR","ENVCAUSE060","22","21.95421","","",""
"TOTENV_2","PUBLISHED","2012","EUR","SRB","ENVCAUSE060","106","105.98148","","",""
"TOTENV_2","PUBLISHED","2012","AFR","SWZ","ENVCAUSE060","107","107.22844","","",""
"TOTENV_2","PUBLISHED","2012","EUR","TJK","ENVCAUSE060","187","186.94702","","",""
"TOTENV_2","PUBLISHED","2012","AFR","UGA","ENVCAUSE060","139","139.27054","","",""
"TOTENV_2","PUBLISHED","2012","EUR","UKR","ENVCAUSE060","159","158.60382","","",""
"TOTENV_2","PUBLISHED","2012","AFR","BDI","ENVCAUSE001","137","137.07856","","",""
"TOTENV_2","PUBLISHED","2012","EUR","BLR","ENVCAUSE001","2","1.56483","","",""
"TOTENV_2","PUBLISHED","2012","AMR","GRD","ENVCAUSE001","5","5.34415","","",""
"TOTENV_2","PUBLISHED","2012","EUR","IRL","ENVCAUSE001","1","1.10725","","",""
"TOTENV_2","PUBLISHED","2012","AMR","MEX","ENVCAUSE001","5","5.10952","","",""
"TOTENV_2","PUBLISHED","2012","EUR","NLD","ENVCAUSE001","1","0.67185","","",""
"TOTENV_2","PUBLISHED","2012","WPR","PLW","ENVCAUSE001","9","9.38740","","",""
"TOTENV_2","PUBLISHED","2012","WPR","SLB","ENVCAUSE001","36","35.96324","","",""
"TOTENV_2","PUBLISHED","2012","EUR","SVK","ENVCAUSE001","1","0.91467","","",""
"TOTENV_2","PUBLISHED","2012","EUR","SWE","ENVCAUSE001","1","1.00717","","",""
"TOTENV_2","PUBLISHED","2012","AFR","TGO","ENVCAUSE001","116","116.33390","","",""
"TOTENV_2","PUBLISHED","2012","EUR","TJK","ENVCAUSE001","22","22.08559","","",""
"TOTENV_2","PUBLISHED","2012","WPR","TUV","ENVCAUSE001","22","22.31116","","",""
"TOTENV_2","PUBLISHED","2012","AFR","UGA","ENVCAUSE001","117","116.80924","","",""
"TOTENV_2","PUBLISHED","2012","SEAR","BGD","ENVCAUSE151","30","30.14849","","",""
"TOTENV_2","PUBLISHED","2012","AMR","CHL","ENVCAUSE151","9","8.91353","","",""
"TOTENV_2","PUBLISHED","2012","EUR","DNK","ENVCAUSE151","5","4.58936","","",""
"TOTENV_2","PUBLISHED","2012","AMR","GRD","ENVCAUSE151","18","17.62898","","",""
"TOTENV_2","PUBLISHED","2012","EUR","NOR","ENVCAUSE151","6","5.71744","","",""
"TOTENV_2","PUBLISHED","2012","EMR","QAT","ENVCAUSE151","11","11.35172","","",""
"TOTENV_2","PUBLISHED","2012","AFR","SLE","ENVCAUSE151","66","65.63212","","",""
"TOTENV_2","PUBLISHED","2012","EUR","SVN","ENVCAUSE151","10","9.82013","","",""
"TOTENV_2","PUBLISHED","2012","AFR","SWZ","ENVCAUSE151","48","48.37395","","",""
"TOTENV_2","PUBLISHED","2012","EUR","TJK","ENVCAUSE151","19","18.78466","","",""
"TOTENV_2","PUBLISHED","2012","EUR","TKM","ENVCAUSE151","30","29.85605","","",""
"TOTENV_2","PUBLISHED","2012","SEAR","TLS","ENVCAUSE151","30","30.14346","","",""
"TOTENV_2","PUBLISHED","2012","AFR","TZA","ENVCAUSE151","56","55.97126","","",""
"TOTENV_2","PUBLISHED","2012","WPR","VUT","ENVCAUSE151","27","26.51974","","",""
"TOTENV_2","PUBLISHED","2012","AMR","ARG","ENVCAUSE060","62","61.65546","","",""
"TOTENV_2","PUBLISHED","2012","AFR","BEN","ENVCAUSE060","176","176.07793","","",""
"TOTENV_2","PUBLISHED","2012","SEAR","BGD","ENVCAUSE060","122","122.17838","","",""
"TOTENV_2","PUBLISHED","2012","AMR","CRI","ENVCAUSE060","51","50.65105","","",""
"TOTENV_2","PUBLISHED","2012","EMR","DJI","ENVCAUSE060","101","100.77777","","",""
"TOTENV_2","PUBLISHED","2012","EUR","HRV","ENVCAUSE060","82","81.97954","","",""
"TOTENV_2","PUBLISHED","2012","EUR","MLT","ENVCAUSE060","61","60.67722","","",""
